url,judul,subjudul,tanggal,isi_berita,kanal
https://news.detik.com/berita/d-7918879/ketua-rw-di-jaktim-dianiaya-warga-gara-gara-bongkar-tembok,Ketua RW di Jaktim Dianiaya Warga Gara-gara Bongkar Tembok,,2025-05-17 17:26,"Ketua RW 02 Pondok Kopi, Jakarta Timur, dianiaya oleh warganya sendiri. Korban bernama Ninuk Hadi (59) dianiaya gara-gara pelaku tak terima tembok rumahnya akan dibongkar untuk normalisasi saluran air. ""Itu saya langsung dicekik. Kakak-adik atau mungkin sudah ada persiapan (melakukan penganiayaan),"" kata Ninuk, dilansir Antara, Sabtu (17/5/2025). Ninuk mengaku dirinya dicekik, dibanting, hingga ditendang. Setelah terjatuh, dia juga mengaku diinjak-injak oleh dua orang pelaku. SCROLL TO CONTINUE WITH CONTENT ""Saya luka di bagian siku kiri lecet-lecet, paha kaki kiri memar, pergelangan kaki kiri lecet, pinggang kanan belakang memar,"" katanya. Kejadian berawal ketika ada proyek penggalian saluran air di samping tembok pagar rumah pelaku di Jl H Miran RT 04 RW 02 Kelurahan Pondok Kopi, Duren Sawit, pada Jumat (16/5). Pelaku dua orang inisial S dan A, yang merupakan kakak-adik. Saat itu petugas Dinas Pekerjaan Umum dan Penataan Ruang (PUPR) memutuskan melakukan penggalian di tempat saluran air yang pernah ada. Sementara itu, saluran lama sudah tertutup karena dibangun pagar rumah oleh pelaku. ""Tukang dipaksa membuat saluran samping (tembok pagar) dibelokkan, supaya menghindari pembongkaran (tembok). Ini lagi ada pekerja, sudah diinstruksikan untuk memperbaiki saluran yang salah menjadi lurus, supaya lempeng,"" katanya. Kedua pihak kemudian terlibat perselisihan. Kedua pelaku menolak tembok pagar rumahnya dibongkar hingga akhirnya melakukan pengeroyokan dan penganiayaan terhadap Ninuk. ""Dia bilang 'saya nggak mau, Pak RW, kalau saluran yang buat ini dibongkar, nanti rumah ambruk' itu katanya,"" kata Ninuk. Ninuk menjelaskan tidak memiliki wewenang terkait saluran air karena sepenuhnya tanggung jawab pihak terkait. Namun pelaku meminta Ninuk menulis pernyataan bermeterai yang berisi pihak RW akan bertanggung jawab jika rumah pelaku rusak atau roboh. Pengeroyokan tersebut kemudian diketahui oleh warga lainnya berinisial S, G, dan J, yang kemudian dilerai. Setelah kejadian sekitar pukul 12.30 WIB, Ninuk melakukan visum di RS Islam Pondok Kopi pada sore harinya dan melaporkan kejadian tersebut ke Polsek Duren Sawit.   Simak juga video ""Pria Aniaya Anak Tiri Hingga Tewas di Dharmasraya Menyerahkan Diri"" di sini: [Gambas:Video 20detik] ",
https://www.detik.com/edu/detikpedia/d-7917712/rekrutmen-tni-ad-2025-gelombang-ii-masih-dibuka-lulusan-sma-smk-bisa-daftar,"Rekrutmen TNI AD 2025 Gelombang II Masih Dibuka, Lulusan SMA/SMK Bisa Daftar!",,2025-05-17 16:00,"Rekrutmen Tentara Nasional Indonesia Angkatan Darat (TNI AD) gelombang II 2025 untuk calon prajurit Tamtama dan Bintara Prajurit Karier (PK) masih dibuka. Pendaftaran online dibuka hingga 8 Juni 2025 melalui laman https://ad.rekrutmen-tni.mil.id/. Sebagai informasi Tamtama dan Bintara adalah dua kepangkatan TNI AD yang berbeda. Tamtama merupakan golongan pangkat prajurit terendah di TNI, sedangkan Bintara memiliki satu pangkat lebih tinggi dibanding Tamtama. Program PK sendiri adalah program dinas keprajuritan yang terbagi atas ikatan dinas pertama dan ikatan dinas lanjutan. Dalam syarat yang ditetapkan, baik Tamtama ataupun Bintara harus menjalani ikatan dinas pertama selama 10 tahun. SCROLL TO CONTINUE WITH CONTENT Pendaftaran TNI AD dibuka secara gratis. Melalui laman resminya, panitia mengingatkan agar peserta tidak percaya pada pihak-pihak yang menjanjikan kelulusan. Calon prajurit juga hanya bisa memilih satu jenis penerimaan. Pendaftar Tamtama tidak bisa mendaftar Bintara, begitu juga sebaliknya. Dikutip dari laman resmi Rekrutmen TNI AD, Jumat (16/5/2025) yuk simak lagi syarat, cara daftar, dan jadwal seleksi Tamtama-Bintara PK TNI AD Gelombang II 2025 di sini. - Warga Negara Indonesia (WNI) - Beriman dan bertaqwa kepada Tuhan Yang Maha Esa (menganut salah satu dari 6 agama yang diakui di Indonesia atau penghayat kepercayaan) - Setia kepada Negara Kesatuan Republik Indonesia yang berdasarkan Pancasila dan Undang-Undang Dasar Negara Republik Indonesia tahun 1945 - Berumur paling rendah 17 tahun 9 bulan dan paling tinggi 22 tahun saat pembukaan pendidikan pada 15 Agustus 2025 - Tidak memiliki catatan kriminalitas yang dikeluarkan secara tertulis oleh Kepolisian Republik Indonesia - Sehat jasmani dan rohani serta tidak berkacamata - Tidak sedang kehilangan hak menjadi prajurit berdasarkan putusan pengadilan yang telah memperoleh kekuatan hukum. Jadwal pelaksanaan seleksi akan disampaikan saat validasi/daftar ulang di Panitia Daerah (Panda) yang ditentukan. Daftar lokasi Panda bisa dicek pada tautan berikut: TAMTAMA dan BINTARA. 1. Mendaftar melalui laman berikut: TAMTAMA dan BINTARA 2. Isi seluruh data yang diminta sistem untuk mendapat formulir pendaftaran online 3. Cetak formulir pendaftaran, blangko dinas, blangko Rikmin, dan blangko riwayat hidup 4. Datang ke Ajudan Jenderal Daerah Militer (Ajendam)/Ajudan Jenderal Resor Militer (Ajenrem) membawa dokumen pendaftaran 5. Setiap calon yang datang, akan dilaksanakan pengukuran tinggi, berat badan, serta pemeriksaan tindak dan tato 6. Jika tidak memenuhi syarat peserta akan ditolak/dipulangkan, jika diterima ada status validasi pada website rekrutmen peserta 7. Calon yang dinyatakan lulus daftar ulang akan mendapat petunjuk lengkap tentang seleksi selanjutnya 8. Jika sudah, peserta diminta kembali ke rumah masing-masing untuk menyelesaikan kelengkapan administrasi 9. Panitia juga akan mendata nomor telepon calon peserta untuk penyampaian jadwal seleksi tingkat Panda. Informasi lebih lanjut bisa dilihat melalui laman https://ad.rekrutmen-tni.mil.id/. Jangan sampai terlewat ya detikers!",
https://www.detik.com/jatim/berita/d-7918302/14-hari-razia-13-preman-di-situbondo-diringkus,"14 Hari Razia, 13 Preman di Situbondo Diringkus",,2025-05-17 12:00,"Polres Situbondo memaparkan hasil pelaksanaan Operasi Pekat II Semeru 2025 yang digelar selama 14 hari. Sebanyak 13 tersangka kasus premanisme berhasil diamankan dalam operasi tersebut. Dalam operasi yang berlangsung sejak 1 hingga 14 Mei 2025 itu, polisi berhasil mengungkap empat kasus tindak kejahatan. Kapolres Situbondo, AKBP Rezi Dharmawan, menyampaikan bahwa Operasi Pekat II Semeru 2025 menyasar kejahatan jalanan dan aksi premanisme yang meresahkan masyarakat. SCROLL TO CONTINUE WITH CONTENT ""Fokus penindakan meliputi pelaku penganiayaan, pemerasan, hingga kekerasan yang meresahkan masyarakat,"" jelas Rezi, Sabtu (17/5/2025). Ia mengungkapkan, dari hasil operasi tersebut diketahui bahwa penyebab terjadinya penganiayaan atau pengeroyokan umumnya dipicu oleh pengaruh minuman keras. Selain penindakan terhadap aksi kriminalitas dan premanisme, lanjut Rezi, Polres Situbondo bersama jajaran Polsek juga rutin melakukan patroli untuk menertibkan peredaran minuman keras. Selama pelaksanaan operasi, jajaran Polres Situbondo turut menyiagakan personel di sejumlah titik rawan. Patroli intensif juga dilakukan untuk memberikan rasa aman kepada masyarakat. ""Kami juga mengintensifkan patroli melalui Kegiatan Rutin yang Ditingkatkan (KRYD) guna menciptakan situasi kamtibmas yang kondusif,"" tegas Rezi. Ia menambahkan, Operasi Pekat II Semeru merupakan bagian dari operasi kepolisian kewilayahan yang bertujuan menjaga keamanan dan ketertiban masyarakat. Situasi yang aman dan kondusif ini diharapkan dapat mendukung pertumbuhan ekonomi serta investasi di wilayah hukum Polda Jawa Timur, khususnya di Kabupaten Situbondo. ""Keberhasilan ini menunjukkan komitmen Polres Situbondo dalam menciptakan lingkungan yang aman dan bebas dari gangguan premanisme,"" pungkasnya.",
https://www.detik.com/jateng/hukum-dan-kriminal/d-7918323/2-remaja-pati-ditetapkan-tersangka-utama-tawuran-antargangster-di-sukolilo,2 Remaja Pati Ditetapkan Tersangka Utama Tawuran Antargangster di Sukolilo,,2025-05-17 10:39,"Polisi menetapkan dua tersangka buntut aksi tawuran di wilayah Kecamatan Sukolilo, Kabupaten Pati. Keduanya diduga menjadi pelaku utama karena memiliki senjata tajam. ""Mereka adalah GR (18) dan GPP (16). Keduanya terbukti memiliki dan membawa senjata tajam berupa celurit saat tawuran terjadi,"" jelas Kapolresta Pati, AKBP Jaka Wahyudi dalam keterangan tertulis diterima detikJateng, Sabtu (17/5/2025). Jaka mengatakan, peristiwa tawuran antargangster ini terjadi di perbatasan dua Desa di Sukolilo pada Sabtu dini hari (3/5), sekitar pukul 01.15 WIB. Dia menjelaskan dua kelompok gangster yang terlibat tawuran ini menamai diri ""All Star Sukolilo"" dan ""GPW,"". SCROLL TO CONTINUE WITH CONTENT ""Motif pertikaian ini diduga kuat dipicu oleh saling tantang yang dilontarkan melalui media sosial, yang berujung pada kesepakatan untuk berduel di lokasi kejadian,"" jelasnya. Menurutnya aksi tawuran ini berhasil dibubarkan oleh petugas kepolisian yang melakukan patroli. Polisi mengamankan sembilan orang dalam kejadian tawuran ini. ""Polisi menetapkan dua orang sebagai pelaku utama,"" jelasnya. ""Selain mengamankan para pelaku, kami juga berhasil menyita barang bukti berupa dua bilah celurit yang diduga kuat digunakan dalam perkelahian tersebut,"" dia melanjutkan. Akibat perbuatan nekatnya, kedua pelaku kini harus berhadapan dengan hukum dan dijerat dengan Undang-Undang Darurat Nomor 12 Tahun 1952 tentang kepemilikan senjata tajam. ""Kami akan melakukan pemeriksaan intensif terhadap kedua pelaku, melakukan penahanan, hingga proses penyidikan tuntas. Langkah tegas ini kami ambil sebagai upaya penegakan hukum yang tidak pandang bulu dan memberikan efek jera terhadap pelaku tindak kriminalitas, terutama yang melibatkan kelompok remaja,"" tegasnya. Sementara itu, bagi remaja lainnya yang tidak terbukti membawa senjata tajam saat kejadian dilakukan pembinaan. Mulai langkah pembinaan yang melibatkan pihak sekolah, orang tua, dan kepala desa. ""Mereka akan diberikan pembinaan khusus dan diwajibkan membuat surat pernyataan serta mengikuti absensi pada hari Senin dan Kamis sebagai bentuk pengawasan dan pembinaan karakter,"" ujarnya. ",
https://www.detik.com/bali/berita/d-7917629/bahas-keamanan-pariwisata-kapolda-bali-bertemu-konsul-berbagai-negara,"Bahas Keamanan Pariwisata, Kapolda Bali Bertemu Konsul Berbagai Negara",,2025-05-17 00:30,"Kapolda Bali, Irjen Daniel Adityajaya, bertemu dengan konsul jenderal, honorary consul, dan consul agent dari sejumlah negara yang berkedudukan di Pulau Dewata. Pertemuan itu sebagai upaya memperkuat sinergi dalam menjaga stabilitas keamanan serta mendukung pengembangan pariwisata berkualitas di Bali. ""Kami Polda Bali berkomitmen untuk menciptakan situasi kamtibmas yang stabil, aman, dan nyaman bagi seluruh wisatawan mancanegara serta masyarakat lokal. Sehingga, nantinya wisatawan maupun warga lokal bisa menjalani liburan maupun aktivitas dengan aman dan nyaman di Bali,"" terang Daniel melalui siaran pers, Jumat (16/52025). Daniel meminta para konsul yang hadir untuk menyampaikan kepada warga negaranya agar mematuhi dan mengikuti aturan serta menghormati tradisi selama berlibur di Bali. Sebab, stabilitas keamanan menjadi fondasi utama dalam mewujudkan pariwisata Bali. Harapannya, Bali tidak hanya menarik secara budaya dan alam, tetapi juga unggul dalam aspek kenyamanan dan keselamatan. SCROLL TO CONTINUE WITH CONTENT ""Kami Polda Bali juga tidak akan menoleransi pelanggaran apa pun yang dilakukan oleh wisatawan maupun warga lokal yang dapat membahayakan dan merugikan masyarakat, khususnya tindakan yang mengarah ke pelanggaran tindak pidana,"" tegas Daniel. Daniel juga memberikan sejumlah imbauan kepada para konsul yang berkedudukan di Bali. Berbagai imbauan itu sebagai berikut.",
https://www.detik.com/bali/berita/d-7917804/polda-bali-kumpulkan-konsul-negara-asing-imbau-wna-tertib-selama-di-bali,"Polda Bali Kumpulkan Konsul Negara Asing, Imbau WNA Tertib Selama di Bali",,2025-05-16 19:16,"Polda Bali menggelar pertemuan strategis bersama para Consul General, Honorary Consul, dan Consul Agent dari berbagai negara yang berdomisili di Bali. Pertemuan ini menjadi wadah untuk mempererat komunikasi antara Kepolisian Daerah Bali dan perwakilan negara-negara sahabat, terutama terkait perlindungan warga negara asing serta penyelenggara kegiatan internasional yang aman dan tertib di wilayah Bali. Dalam sambutannya Kapolda Bali Irjen. Pol. Daniel Adityajaya, menyampaikan komitmen Polda Bali dalam menciptakan situasi Keamanan dan Ketertiban Masyarakat (KAMTIBMAS) yang kondusif bagi seluruh turis dan warga lokal. ""Kami Polda Bali berkomitmen untuk menciptakan situasi kamtibmas yang stabil, aman, dan nyaman bagi seluruh wisatawan mancanegara serta masyarakat lokal sehingga nantinya wisatawan maupun warga lokal bisa menjalani liburan maupun aktivitas dengan aman dan nyaman di Bali"" ucap Irjen Pol Daniel dalam keterangan resminya, Jumat (16/5/2025). SCROLL TO CONTINUE WITH CONTENT Daniel juga menegaskan pentingnya partisipasi aktif dari para perwakilan konsul untuk memberikan pemahaman kepada warga negaranya tentang pentingnya menaati peraturan yang berlaku di Bali serta menghormati akan tradisi di Bali. ""Selain itu saya mengimbau kepada seluruh konsul yang hadir hari ini agar menyampaikan kepada warga negaranya yang ingin berkunjung ke Bali agar tetap mematuhi dan mengikuti aturan yang ada dan berlaku di bali serta menghormati tradisi yang sudah ada dan berjalan di Bali selama ini, mengingat pentingnya stabilitas keamanan menjadi pondasi utama dalam mewujudkan pariwisata Bali yang tidak hanya menarik secara budaya dan alam, tetapi juga unggul dalam aspek kenyamanan dan keselamatan,"" tegas Daniel. Daniel juga mengingatkan bahwa tidak akan ada toleransi terhadap pelanggaran hukum yang dilakukan oleh siapa pun. ""Kami Polda Bali juga tidak akan mentoleransi pelanggaran apa pun yang dilakukan oleh wisatawan maupun warga lokal yang dapat membahayakan dan merugikan masyarakat khususnya tindakan yang mengarah ke pelanggaran tindak pidana,"" tutup Daniel. Salah satu perwakilan konsul yang hadir mengatakan pihaknya setuju bahwa wisatawan harus menghormati peraturan di Bali. Ia juga meminta agar masyarakat Bali memberikan contoh untuk para wisatawan. ""Saya sangat setuju dengan penyampaian Bapak Kapolda Bali terkait dengan wisatawan yang datang ke Bali agar mengikuti segala peraturan yang ada di Bali. Kami juga minta masyarakat Bali memberikan contoh yang baik kepada wisatawan yang ada di Bali agar wisatawan mengetahui apa dan bagaimana berperilaku di Bali,"" ucapnya. Ada lima poin imbauan Kapolda Bali kepada consul asing: 1. Mayoritas kejahatan terjadi pada malam hari yaitu periode pukul 18.00-06.00 (WITA), oleh karena itu para konsul negara asing agar mengimbau warga negaranya untuk lebih waspada saat melakukan aktivitas pada malam hari. 2. Terkait kejadian kriminalitas dan perilaku tidak terpuji yang dilakukan oleh WNA di Bali, agar para konsul lebih meningkatkan komunikasi dan mengingatkan warga negaranya agar kejadian serupa tidak terjadi lagi. 3. Terkait kasus hukum yang melibatkan warga negara asing di Bali, agar para konsul dapat membantu Polda Bali dalam menyampaikan informasi kepada WNA dan keluarganya untuk mempermudah proses pemeriksaan saksi dalam rangka investigasi/penanganan perkara. 4. Para konsul agar memberikan perhatian dan terus mengingatkan warga negaranya untuk menaati dan menghormati peraturan perundang-undangan yang berlaku, termasuk adat istiadat budaya setempat. 5. Tingkatkan komunikasi, koordinasi, dan kolaborasi antara konsul, Polda Bali, dan stakeholder terkait lainnya untuk mendukung dan mewujudkan pariwisata Bali yang aman, nyaman, dan berkualitas. Melalui pertemuan ini, diharapkan terjalin kolaborasi yang lebih erat antara Polda Bali dengan komunitas diplomatik, guna mengantisipasi potensi gangguan keamanan serta mempercepat koordinasi jika terjadi insiden yang melibatkan warga negara asing.",
https://www.detik.com/jatim/hukum-dan-kriminal/d-7917473/polresta-malang-tangkap-36-tersangka-hasil-operasi-pekat-semeru-ii,Polresta Malang Tangkap 36 Tersangka Hasil Operasi Pekat Semeru II,,2025-05-16 18:20,"Polresta Malang Kota mengamankan 36 tersangka dari Operasi Pekat Semeru II 2025 yang digelar selama dua pekan. Sebanyak 36 tersangka yang diamankan dari 24 kasus yang ditangani. Wakapolresta Malang Kota AKBP Oskar Syamsuddin mengatakan, Operasi Pekat Semeru II digelar mulai 1 Mei 2025 hingga 14 Mei 2025. Hasil operasi mengungkap kasus penganiayaan, kemudian debt collector, gangster, dan pengeroyokan. SCROLL TO CONTINUE WITH CONTENT Oskar merinci, untuk kasus penganiayaan ada 18 tersangka dari 18 kasus yang ditangani. Rinciannya, debt collector satu kasus dengan satu tersangka. ""Kemudian gangster satu kasus lima tersangka. Dan untuk pengeroyokan empat kasus sebelas tersangka,"" ujar Oskar dalam konferensi pers di Polresta Malang Kota, Jumat (16/5/2025). Oskar menambahkan, pihaknya juga mengamankan barang bukti dari tangan para tersangka. Mulai dari satu unit sepeda motor, tabung gas elpiji, dan sejumlah senjata sajam jenis sabit dan pisau. ""Semua ini kita lakukan penyidikan dan masih berproses dan tentunya kita upayakan terus sampai dengan kita serahkan kepada kejaksaan,"" imbuhnya. Oskar menjelaskan, upaya menjaga situasi aman dan kondusif di wilayah Kota Malang akan terus dilakukan. Meskipun pelaksanaan Operasi Pekat Semeru II sudah selesai. Salah satunya dengan menggelar kegiatan Kepolisian Rutin Yang Ditingkatkan (KRYD) akan terus dilakukan untuk mencegah aksi kriminalitas di Kota Malang. ""Dengan sasaran utama premanisme dan kejahatan lainnya untuk menciptakan situasi kondusif di wilayah hukum Polresta Malang Kota,"" jelasnya. Sementara itu, salah satu kasus yang menyita perhatian adalah keterlibatan pemuda dalam aksi gangster dan pengeroyokan. Kasatreskrim Polresta Malang Kota, Kompol M Soleh menyampaikan, dalam aksinya para pemuda ini mengawali dengan mengonsumsi minuman keras terlebih dahulu. Kemudian, dalam kondisi pengaruh alkohol, mereka berkeliling untuk mencari sasaran untuk melakukan tindak kekerasan. ""Artinya mereka mengajak orang-orang yang dia temui untuk berkelahi,"" kata Soleh terpisah. Soleh mengungkapkan, akibat pengeroyokan tersebut, seorang korban sedang dirawat di salah satu rumah sakit di Kota Malang dalam kondisi kritis. Peristiwa tersebut terjadi di salah satu kafe yang berada di Jalan Cianjur, Kecamatan Klojen. ""Korbannya ditusuk oleh pelaku dalam keadaan mabuk. Sehingga terjadi percekcokan dengan korban dan korban ditusuk hingga sekarang kondisinya kritis,"" bebernya. Soleh mengimbau kepada masyarakat segera melapor kepada kepolisian apabila menemukan hal-hal yang sekiranya mengganggu keamanan dan ketertiban masyarakat. ""Segera laporkan kepada kami, petugas kepolisian Polresta Malang Kota,"" pungkasnya.",
https://www.detik.com/jateng/hukum-dan-kriminal/d-7917055/niat-lerai-perkelahian-pria-kudus-malah-jadi-korban-pembacokan-brutal,"Niat Lerai Perkelahian, Pria Kudus Malah Jadi Korban Pembacokan Brutal",,2025-05-16 13:56,"Seorang pria berinisial DA (30) warga Kudus yang hendak melerai perkelahian justru menjadi korban pembacokan hingga terluka parah di kepala. Pelaku pembacokan pun telah diamankan jajaran Polres Kudus. Kapolsek Kudus Kota, AKP Subkhan mengatakan pembacokan ini terjadi di halaman parkir salah tempat makan di Kudus pada Jumat (18/4) pukul 04.40 WIB. Pelaku seorang pria berinisial MGA (22) warga Kecamatan Bae, Kudus, yang sempat kabur akhirnya berhasil diringkus oleh tim Reskrim Polsek Kota Kudus pada Kamis (7/5) lalu. ""Pelaku sempat melarikan diri dan bersembunyi di sebuah rumah kos di wilayah Dersalam, Kecamatan Bae, Kudus. Penangkapan dilakukan tanpa perlawanan,"" jelas Subkhan dalam keterangan tertulis diterima detikJateng, Jumat (16/5/2025). SCROLL TO CONTINUE WITH CONTENT Subkhan menjelaskan, kejadian bermula saat korban yang baru saja keluar dari sebuah angkringan di selatan pertigaan Jember melihat sekelompok remaja tengah berkelahi. Korban berniat melerai kelompok yang berkelahi tersebut. ""Korban berniat melerai, namun justru menjadi korban kekerasan,"" jelasnya. Menurutnya, pelaku yang saat itu dalam kondisi mabuk menyerang korban menggunakan celurit. Akibatnya korban mengalami luka bacok pada bagian kepala. ""Serangan itu sangat brutal dan menyebabkan korban mengalami luka di bagian kepala,"" jelas Subkhan. Usai menyerang korban, pelaku langsung kabur. Pelaku sempat melarikan diri dan berpindah-pindah tempat untuk menghindari kejaran polisi. ""Namun petunjuk CCTV di sekitar TKP dan informasi dari masyarakat, keberadaan MGA berhasil diketahui,"" jelasnya. Polisi mengamankan pelaku beserta barang bukti berupa celurit. Atas perbuatannya, MGA dijerat dengan Pasal 351 KUHP tentang tindak pidana penganiayaan. ""Dengan ancaman hukuman penjara maksimal 2 tahun 8 bulan,"" ungkapnya. Kapolres Kudus AKBP Heru Dwi Purnomo memberikan imbauan kepada masyarakat terutama kalangan remaja, agar tidak terlibat dalam aksi kekerasan maupun kegiatan negatif seperti mabuk-mabukan dan membawa senjata tajam yang digunakan untuk tindak kriminalitas. ""Premanisme dalam bentuk apa pun tidak akan kami toleransi. Kami minta masyarakat, khususnya anak-anak muda, untuk tidak mudah terprovokasi dan menjauhi kekerasan. Laporkan jika ada gangguan keamanan atau aktivitas mencurigakan. Kami siap menindaklanjuti,"" jelasnya. ",
https://www.detik.com/sumut/hukum-dan-kriminal/d-7915723/dua-kurir-narkoba-ditangkap-di-batam-polda-kepri-sita-1-kg-heroin,"Dua Kurir Narkoba Ditangkap di Batam, Polda Kepri Sita 1 Kg Heroin",,2025-05-15 20:00,"Ditresnarkoba Polda Kepulauan Riau (Kepri) menangkap dua orang kurir narkoba di kawasan Harbour Bay, Batu Ampar, Batam. Dari tangan dua pelaku berinisial B dan R polisi menyita 1 kilogram heroin dan 12,5 gram sabu. ""Tim Opsnal Subdit II Ditresnarkoba Polda Kepri menangkap dua orang berinisial B dan R. Keduanya ditangkap di Pintu Keluar Harbour Bay, Kecamatan Batu Ampar, Kota Batam pada Senin (5/5/2025),"" kata Dirresnarkoba Polda Kepri, Kombes Anggoro Wicaksono, Kamis (15/5/2025). Kronologi pengungkapan itu bermula dari Opsnal Subdit II Ditresnarkoba Polda Kepri mendapatkan informasi masyarakat terkait dua orang kurir narkoba jenis heroin dan sabu di kawasan Harbour Bay, Batam. Polisi kemudian mendalami informasi tersebut. SCROLL TO CONTINUE WITH CONTENT ""Tim Opsnal Subdit II Ditresnarkoba Polda Kepri Melakukan upaya paksa penangkapan terhadap dua orang Laki-laki yang kemudian diketahui bernama B dan R,"" ujarnya. Dari hasil penggeledahan terhadap dua pelaku, polisi menemukan satu bungkus plastik yang berisikan heroin seberat 1 kilogram dan sabu seberat 12,5 gram. ""Para pelaku dan barang bukti kemudian dibawa ke kantor Ditresnarkoba Polda Kepri guna penyidikan lebih lanjut,"" Ujarnya. Anggoro mengatakan kasus itu masih dalam pengembangan pihaknya. Ia menyebut dari hasil penyelidikan heroin dan sabu yang diamankan diduga berasal dari Malaysia. ""Sementara masih proses pengembangan, diindikasikan ini jaringan dari Malaysia. Rencana barang akan dibawa ke Jakarta,"" ujarnya.  ",
https://www.detik.com/sumbagsel/berita/d-7915772/polda-babel-terjunkan-390-personel-untuk-brantas-premanisme,Polda Babel Terjunkan 390 Personel untuk Brantas Premanisme,,2025-05-15 17:40,"Polda Bangka Belitung (Babel) menggelar Operasi Pemberantasan Premanisme Menumbing 2025. Ada 390 personel dikerahkan bersama jajaran untuk menyasar Premanisme di wilayah Babel. ""Personel yang dilibatkan dalam operasi tersebut sebanyak 390, dari Polda dan Jajaran. Sasaran premanisme yang meresahkan masyarakat,"" kata Kabid Humas Polda Babel Kombes Fauzan Sukmawansyah kepada detikSumbagsel, Kamis (15/5/2025). Kata Fauzan, operasi tersebut dilakukan sebagai komitmennya Polda Babel bersama Jajaran untuk memberikan rasa aman dan nyaman terhadap masyarakat. Operasi akan dimulai pada tanggal 19 Mei 2025 mendatang. SCROLL TO CONTINUE WITH CONTENT ""Iya, ini sebagai wujud komitmen kita. Operasi pemberantasan premanisme akan dimulai pada tanggal 19 Mei, selama satu minggu ke depan,"" ujarnya. ""Tujuannya, yang pertama menciptakan situasi kamtibmas yang aman dan kondusif. Selanjutnya, kita mengantisipasi meningkatnya kriminalitas dan pelanggaran serta juga menindaklajuti arahan dari Presiden agar menindak tegas aksi premanisme,"" sambungnya. Fauzan menjelaskan dalam operasi ini seluruh jajaran diperintahkan untuk melakukan penegakkan hukum. Melalui deteksi dini, preemtif dan preventif serta fungsi pendukung lainnya. ""Komitmen kita tegas, sikat dan berantas segala bentuk aktivitas yang berkaitan dengan aksi premanisme ini. Sehingga, Bangka Belitung benar-benar zero dari premanisme,"" tegasnya. Selain memberantas premanisme, Polda Babel dan jajaran juga berfokus pada pemberantasan aksi geng motor yang meresahkan masyarakat. Kata dia, langkah strategi telah dilakukan guna memberantas aksi kejahatan seperti premanisme dan geng motor. ""Fokus kita juga terhadap geng motor sebagai komitmen mewujudkan Babel aman, tentram dan kondusif. Sehingga sejauh ini, Bangka Belitung zero geng motor,"" ujarnya. Sebelumnya diberitakan, Kapolda Babel Irjen Hendro Pandowo berkomitmen memberantas segala aksi premanisme dan geng motor di wilayahnya. Irjen Hendro tak akan memberikan ruang segala aksi premanisme yang mengganggu Kamtibmas. ""Komitmen saya tegas dan jelas, berantas segala bentuk premanisme dan juga geng motor yang ada di wilayah Bangka Belitung ini,"" kata Hendro dikonfirmasi di Mapolda, Jumat (9/5/2025)",
