url,judul,tanggal,isi_berita,panjang_judul,panjang_isi_berita
https://www.detik.com/sumbagsel/hukum-dan-kriminal/d-7526252/4-anak-di-bawah-umur-tersangka-pembunuhan-di-palembang-ini-kata-pengamat,"4 Anak di Bawah Umur Tersangka Pembunuhan di Palembang, Ini Kata Pengamat",2024-09-05 20:30:00,"Pelaku pembunuhan dan pemerkosaan AA (14) seorang remaja putri di Kuburan Cina Palembang sudah ditangkap dan ditetapkan tersangka. Keempat tersangka merupakan anak di bawah umur, sama seperti korbannya. Pengamat Hukum dari Universitas Taman Siswa Palembang, Dr Azwar Agus menyampaikan turut prihatin dengan kejadian pembunuhan remaja putri yang dilakukan oleh remaja laki-laki yang usianya sebaya dengan korban. ""Kejadian ini sangat memprihatinkan. Dilihat dari aspek hukum kejahatan ini tidak bisa terbendung seiring dengan perkembangan ilmu pengetahuan dan teknologi seperti peran media sosial, di mana salah satu tersangka bisa mengakses film biru (porno),"" ujarnya, Kamis (5/9/2024). SCROLL TO CONTINUE WITH CONTENT Menurutnya, konten-konten negatif seperti seksual tidak bisa dihindari dan ini menjadi pemicu kejahatan karena terbukti anak tersebut bisa mengakses konten-konten pornografi dan memicu tindak pidana. ""Sebenarnya itu (konten film porno) tidak hanya bisa diakses anak-anak saja tetapi juga bisa diakses orang dewasa dan itu menjadi pemicu tindak kriminalitas terhadap seseorang,"" tuturnya. Jika anak sudah bisa mengakses dan melihat melalui handphone dapat menimbulkan efek yang cukup signifikan terhadap dirinya karena dapat berpengaruh bila tidak disertai dengan imam dan kontrol dari orang tua dan menimbulkan hal yang tidak diinginkan. ""Bahwa kemajuan pengetahuan dan teknologi tadi tidak bisa membendung pergaulan anak sekarang. Maka dari itu butuh kontrol dari orang tua dan pantauan dari orang tua agar apa tang dilihat di medsos tidak bernaturalisasi dengan kejadian seperti saat ini,"" ucapnya. Azwar menjelaskan untuk kejadian yang terjadi ini para tersangka sudah mendapatkan hukuman meski dirasakan keluarga korban tidak setimpal, namun tetap ada ancaman pidana. Tapi ancaman pidananya berbeda dengan orang dewasa. ""Anak masa depan bangsa. Walau tindakannya adalah pidana, namun bagi negara kita masih memikirkan kehidupan anak tersebut yang masih panjang,"" tuturnya. Memang hukumannya tidak memberikan keadilan bagi korban dan keluarga korban namun tersangka sudah diberikan hukuman dan diharapkan ke depan orang tua bisa mengontrol dan mengawasi keseharian anaknya. ""Peran orang dewasa seperti orang tua sangat penting, minimal orang tua memberikan kegiatan positif kepada anak dan kejadian ini perlu pengawasan kita bersama,"" pungkasnya. ",73,2370
https://www.detik.com/jatim/hukum-dan-kriminal/d-7526567/26-tersangka-dibekuk-selama-3-bulan-terakhir-di-kota-probolinggo,26 Tersangka Dibekuk Selama 3 Bulan Terakhir di Kota Probolinggo,2024-09-05 18:38:00,"Dalam waktu kurang lebih 3 bulan, Polres Probolinggo Kota membekuk puluhan tersangka dari berbagai kasus. Kasus itu mulai dari kasus pembunuhan hingga kasus obat-obatan terlarang. Rinciannya, ada 26 tersangka dibekuk dari 10 kasus sabu dan 6 kasus obat keras berbahaya (Okerbaya) serta 5 kasus kriminalitas seperti pembunuhan istri oleh suami sirinya, penggelapan jabatan dan uang sewa, serta korupsi dana desa. Kapolres Probolinggo Kota AKBP Oki Ahadian Purwono mengatakan dengan jumlah kasus yang ada, menandakan memang angka kejahatan di wilayah hukumnya meningkat. Oki berjanji akan berupaya menekan hal tersebut. SCROLL TO CONTINUE WITH CONTENT ""Angka kejahatan memang meningkat, tapi perlu digarisbawahi juga, angka penangkapan kepada para pelaku juga meningkat. Ini PR bagi kami, agar selanjutnya bisa menekan dan menurunkan angka tersebut,"" ujar Oki, Kamis (5/9/2024). Dari penangkapan itu, lanjut Oki, disita barang bukti yakni 6 gram sabu, 5.300 butir pil koplo berbagai merek dari kasus peredaran obat-obatan terlarang, sepeda motor, celurit dan sejumlah dokumen. ""Semuanya sudah kami amankan dan disita di unit masing-masing. Kami harap partisipasi dari warga Kota Probolinggo untuk menurunkan angka ini sangat penting, sebab kerja kami tidak maksimal jika tidak ada bantuan dari masyarakat,"" ungkap Oki. Untuk kasus sabu, tersangka dikenakan pasal 114 dan 112 UU nomor 35 tahun 2009 tentang narkotika. Kasus peredaran pil koplo tersangka dijerat UU nomor 17 tahun 2003 tentang kesehatan dengan ancaman hukuman 5 tahun dan maksimal 12 tahun. Sedangkan untuk kasus kriminalitas, tersangka dijerat pasal 2, pasal 3 UU nomor 31 tahun 1999 tentang pemberantasan korupsi hingga pasal 374 KUHP dengan ancaman hukuman 5 tahun hingga maksimal 15 tahun penjara.",64,1764
https://www.detik.com/jatim/hukum-dan-kriminal/d-7524973/kriminalitas-surabaya-marak-pengamat-sebut-penanganannya-tertatih-tatih,"Kriminalitas Surabaya Marak, Pengamat Sebut Penanganannya Tertatih-tatih",2024-09-05 02:01:00,"Sejumlah kejadian kriminalitas kian marak terjadi di Surabaya. Salah satu yang paling dominan adalah gangster dan begal. Ahli pidana Universitas Bhayangkara (Ubara) Surabaya Prof.Dr Solahudin buka suara terkait hal itu. Menurut Solahudin, penegakan hukum akhir-akhir ini di Surabaya tertatih-tatih. ""Ya mungkin akibat banyaknya kasus-kasus, kemudian banyak faktor pengaruh dari kemajuan pesat informasi ya, jadi keterbukaan informasi dan teknologi serta kesadaran sebagian besar masyarakat ini menjadi faktor yang sangat mendorong juga,"" kata Solahudin saat dikonfirmasi detikJatim, Rabu (4/9/2024). SCROLL TO CONTINUE WITH CONTENT Solahudin menilai keterbukaan dan kemajuan informasi menekan kinerja dari aparat penegak hukum (APH) itu sendiri. Menurut Solahudin, sebelumnya tidak ada pendorong dari luar atau masyarakat. Sehingga, APH terkesan santai dalam menangani suatu perkara, terutama yang tak mendapat perhatian publik. ""Makanya ya santai-santai saja, makanya timbul istilah no viral no justice,"" imbuhnya. Solahudin menegaskan apabila tidak ada dorongan dari media sosial dan perhatian masyarakat, maka penegakan hukum dan keadilan akan jalan di tempat. Sehingga, ia menilai penegakkan hukum seolah tertatih-tatih.",72,1224
https://www.detik.com/sumut/hukum-dan-kriminal/d-7524497/pekerja-kafe-disiram-air-keras-hingga-wajah-berasap-pelaku-ditangkap,"Pekerja Kafe Disiram Air Keras hingga Wajah 'Berasap', Pelaku Ditangkap",2024-09-04 21:40:00,"Seorang pekerja kafe di Cengkareng, MAS (32), diduga disiram air keras oleh A, teman kerjanya. Wajah korban pun 'berasap' akibat terkena siraman diduga air keras. Video penyiraman diduga air keras itu pun tersebar luas hingga viral di media social. Dilansir detikNews, peristiwa itu dinarasikan terjadi pada Minggu (1/9) malam. Di video itu terlihat korban berboncengan mengendarai sepeda motor. Korban tampak dibuntuti oleh dua orang pelaku yang juga berboncengan satu motor. SCROLL TO CONTINUE WITH CONTENT Kemudian pelaku memepet korban dan seketika menyiramkan cairan diduga air keras ke arah wajah korban laki-laki. Kedua pelaku langsung memutar balik kendaraan dan tancap gas meninggalkan lokasi. Sementara itu, korban terlihat turun dari motornya dengan kondisi tubuh yang berasap lantaran diduga terkena air keras. Korban tampak mengusap mukanya sembari meringis kesakitan meminta bantuan warga sekitar. Warga pun berjibaku mengambil ember berisikan air lalu menyiramkannya ke korban. Korban tampak tergeletak tak berdaya kesakitan lantaran peristiwa yang terjadi. Kapolres Metro Jakarta Barat Kombes M Syahduddi membenarkan adanya peristiwa tersebut. Kasus sudah dilaporkan ke Polsek Cengkareng. ""Benar ada kejadian tersebut. Peristiwa tersebut sudah dilaporkan ke Polsek Cengkareng,"" kata Syahduddi. Pelalu Ditangkap Kapolsek Cengkareng Kompol Stanlly Soselisa menambahkan pelaku adalah rekan kerja korban. Keduanya merupakan waiters di kafe yang sama. ""Pelaku teman kerja korban di kafe Cengkareng. Pelaku dan korban merupakan waiters di salah satu kafe,"" katanya terpisah. Stanlly mengatakan pelaku ditangkap pada Senin (2/9) malam di sebuah kafe di kawasan Cengkareng, Jakarta Barat. Belum diketahui motif pasti penyiraman air keras tersebut. Saat ini pelaku masih menjalani pemeriksaan. ""Setelah pelaku masuk ke dalam kafe, tim opsnal langsung masuk ke dalam untuk mengamankan pelaku. Saat ini pelaku dibawa ke Mapolsek Cengkareng untuk dimintai keterangan lebih lanjut,"" jelasnya.",71,1995
https://www.detik.com/sumut/hukum-dan-kriminal/d-7521470/hilang-nyawa-pria-di-simalungun-gegara-rebutan-mikrofon-di-warung-tuak,Hilang Nyawa Pria di Simalungun gegara Rebutan Mikrofon di Warung Tuak,2024-09-03 09:03:00,"Hanya gegara rebutan mikrofon untuk bernyanyi di warung tuak, Hermansyah Pohan (36) harus kehilangan nyawanya karena ditikam ZS (36). Keduanya tengah mabuk dan berebut hendak bernyanyi di warung miras tradisional tersebut. Kejadian itu terjadi di Dusun III Nagori Bahliran Siborna, Kecamatan Panei, Kabupaten Simalungun, Sabtu (31/8/2024) malam. Saat itu korban dan pelaku sama-sama minum tuak di warung tersebut hingga mabuk. ""Korban dan pelaku sama-sama minum tuak di kedai itu,"" kata Kasat Reskrim Polres Simalungun AKP Ghulam Yanuar Luthfi detikSumut, Senin (2/9/2024). SCROLL TO CONTINUE WITH CONTENT Korban lalu meminta mikrofon kepada pelaku karena ingin bernyanyi. Namun, korban yang masih asyik bernyanyi merasa tersinggung dan mendatangi korban di meja sebelah. Keduanya sempat terlibat saling dorong hingga pelaku ZS mengeluarkan pisau yang dibawanya dan langsung menikam perut korban. Para pengunjung warung tuak tersebut pun langsung melarikan korban ke rumah sakit namun tak lama setelah tiba di RS, korban meninggal dunia. ""Keduanya berselisih karena korban meminta mic kepada tersangka untuk bergantian menyanyi,"" tambah Ghulam. Pelaku melarikan diri dan kiri masih dalam pengejaran pihak kepolisian, sedangkan jasad korban dibawa ke RS Bhayangkara Medan untuk diautopsi. ""Mayat Korban mengalami luka tusuk di bagian antara dada dan perut dan lengan kiri di dekat bahu,"" pungkasnya.",70,1398
https://www.detik.com/sumut/hukum-dan-kriminal/d-7521480/utang-rp-3-juta-bikin-pegawai-akper-tewas-di-tangan-pasangan-sejenis,Utang Rp 3 Juta Bikin Pegawai Akper Tewas di Tangan Pasangan Sejenis,2024-09-03 08:01:00,"Hidup pria bernama Monika Hutauruk (45) harus berakhir usai dibunuh pasangan sesama jenisnya BSH (38). Pria yang sehari-hari bekerja sebagai pegawai di akademi keperawatan (Akper) di Tarutung tersebut tewas di asramanya. Kapolres Taput AKBP Ernis Siinjak menjelaskan, korban ditemukan tewas di asmara Akper Tarutung di Jalan Kolonel Liberty Malau, Kecamatan Tarutung, tempat ia bekerja, Jumat (30/8) sekira pukul 13.00 WIB . Diduga ia tewas dibunuh. ""Korban diketahui meninggal di asrama. Lalu kita melakukan visum di RS Tarutung dan hasilnya pun diduga kuat bahwa tewasnya korban akibat perbuatan tindak pidana,"" kata AKBP Ernis Sitinjak saat konferensi pers, Senin (2/9/2024). SCROLL TO CONTINUE WITH CONTENT Terungkapnya kasus tersebut saat seorang warga melapor bahwa ada jasad di asrama pendidikan tinggi tersebut. Polisi yang menerima laporan itu langsung turun ke TKP. ""Saat tiba di TKP, korban ditemukan dengan posisi terlentang dan mengeluarkan darah dari hidung dan mulut,"" ujarnya. Awalnya pihak keluarga korban sempat menolak jasad korban untuk diautopsi. Keluarga menduga korban tewas karena sakit jantung yang memang dideritanya. Namun polisi menduga ada penyebab lain hingga memberi penjelasan kepada keluarga korban hingga akhirnya bersedia korban diautopsi. ""Awalnya keluarga korban menganggap bahwa meninggalnya korban tidak curiga dugaan pembunuhan. Mereka menganggap bahwa korban meninggal karena penyakit jantung, karena sudah pasang ring jantung dan sempat menolak dilakukan autopsi mayat,"" kata Ernis. Dari hasil penyelidikan, terungkap identitas pelaku dan berhasil ditangkap pada Sabtu (31/8). Terungkap pula korban dan pelaku merupakan pasangan sesama jenis. Korban sendiri, kata Ernis, memiliki istri yang tinggal di Batam setelah pisah ranjang. ""Setelah pelaku diperiksa, dirinya pun mengakui perbuatan itu telah membunuh korban. Menurut pelaku, hubungan asmara sesama jenis antara dirinya dengan korban sudah berlangsung lama sejak tahun 2022,"" ujarnya. Dari pengakuan pelaku, korban dibunuh dengan sadis. Lehernya dijerat dengan kabel setrika hingga tewas. Usai mendapat korban tewas, pelaku melarikan diri. ""Pelaku nekat membunuh dengan mengambil kabel setrika yang ada di rumah korban dan menjerat leher korban dengan sekuat-kuatnya. Setelah korban tidak berdaya dan lemas, pelaku membiarkan korban terlentang di lantai hingga tewas. Setelah dipastikan tewas pelaku melarikan diri dari pintu depan serta menutup pintu kembali dengan rapi,"" pungkasnya. Kasi Humas Porles Taput Aiptu Walpon Baringbing mengatakan korban merupakan pegawai di Akper Tarutung itu. Korban bertugas sebagai pengawas di asrama Akper itu. ""Dia (korban) pegawai di yayasan Akper. Jadi, dia (korban) pengawas khusus di asrama itu untuk menjaga asrama mahasiswanya. Bukan (dosen),"" kata Walpon. Korban dan pelaku juga sempat melakukan hubungan seksual sesama jenis di dalam kamar asrama sebelum pembunuhan itu terjadi. ""Sesaat sebelum peristiwa itu terjadi, pelaku dan korban sudah melakukan hubungan seksual sesama jenis di dalam kamar asrama tempat tinggal korban,"" kata Kapolres Taput AKBP Ernis Sitinjak saat konferensi pers, Senin (2/9/2024). Usai berhubungan badan, keduanya lalu terlibat cekcok perkara utang. Korban menagih utang pelaku sebanyak Rp 3 juta. ""Setelah melakukan hubungan seks sesama jenis, terjadilah pertengkaran. Pertengkaran keduanya dipicu oleh utang pelaku sebanyak Rp 3 juta yang ditagih paksa oleh korban,"" sebutnya. Kemudian, pelaku merasa emosi dan mengambil setrika yang berada di rumah korban. Lalu, pelaku menjeratkan tali setrika tersebut ke leher korban hingga membuat korban tewas. ""Saat ini, tersangka sudah ditahan,"" kata Ernis saat konferensi pers, Senin (2/9/2024). Ernis mengatakan pelaku dijerat Pasal 338 KUHPidana tentang Pembunuhan. BSH terancam hukuman 15 tahun penjara. ""Dikenakan melanggar Pasal 338 KUHP dengan ancaman hukuman 15 tahun penjara,"" ujarnya.",68,3907
https://www.detik.com/sumut/hukum-dan-kriminal/d-7521344/gegara-rebutan-mikrofon-di-warung-tuak-pria-simalungun-tewas-ditikam,"Gegara Rebutan Mikrofon di Warung Tuak, Pria Simalungun Tewas Ditikam",2024-09-02 21:00:00,"Seorang pria di Kabupaten Simalungun, Sumatera Utara (Sumut) bernama Hermansyah Pohan (36) tewas ditikam ZS (36). Sebelum penikaman terjadi, korban dan pelaku sempat rebutan mikrofon untuk bernyanyi di warung tuak tempat keduanya mabuk. Kasat Reskrim Polres Simalungun AKP Ghulam Yanuar Luthfi mengatakan peristiwa itu terjadi di kedai tuak di Dusun III Nagori Bahliran Siborna, Kecamatan Panei, pada Sabtu (31/8) malam. ""Korban dan pelaku sama-sama minum tuak di kedai itu,"" kata Ghulam saat dikonfirmasi detikSumut, Senin (2/9/2024). SCROLL TO CONTINUE WITH CONTENT Lalu, korban meminta mikrofon kepada pelaku karena ingin menyanyi. Namun, korban merasa tersinggung dan mendatangi korban yang berada di meja sebelahnya. Kemudian, keduanya terlibat saling dorong hingga akhirnya pelaku mengeluarkan pisau yang dibawanya dan langsung menikam perut korban. Warga yang berada di warung tersebut langsung melarikan korban ke rumah sakit. Namun, nahas, selang beberapa waktu setelah tiba di rumah sakit, korban dinyatakan meninggal dunia. ""Keduanya berselisih karena korban meminta mic kepada tersangka untuk bergantian menyanyi,"" ujarnya. Pihak kepolisian yang menerima informasi kejadian itu lalu turun ke lokasi untuk olah TKP. Lalu, jasad korban dibawa ke RS Bhayangkara Medan untuk diautopsi, sedangkan pelaku masih dalam pengejaran pihak kepolisian. ""Mayat Korban mengalami luka tusuk di bagian antara dada dan perut dan lengan kiri di dekat bahu,"" pungkasnya.",69,1462
https://www.detik.com/sumut/hukum-dan-kriminal/d-7519375/polisi-tangkap-kawanan-pencuri-spesialis-bongkar-warung-di-asahan-1-ditembak,"Polisi Tangkap Kawanan Pencuri Spesialis Bongkar Warung di Asahan, 1 Ditembak",2024-09-01 19:00:00,"Polisi menangkap empat orang pria kawanan pencurian spesialis bongkar warung pasar di Kabupaten Asahan, Sumatera Utara (Sumatera Utara). Salah seorang pelaku terpaksa ditembak kakinya karena melawan saat ditangkap. ""Satu pelaku kami tangkap Sabtu kemarin dan harus dilumpuhkan karena tidak kooperatif. Mereka ini terlibat beberapa kali melakukan pencurian bongkar warung di pasar dan ada juga di rumah kosong,"" kata Kanit Jatanras Polres Asahan, Ipda Supangat dalam keterangannya kepada wartawan, Minggu (1/9/2024). Adapun para tersangka yang diamankan ini adalah Fatar Simanjuntak sebagai otak pelaku. Saat ditangkap Fatar ditembak di bagian kakinya. Kemudian tiga rekan lainnya yakni Yovie Wibowo, Said Aji dan Nando Pardede. SCROLL TO CONTINUE WITH CONTENT Supangat mengatakan para pelaku itu merupakan satu tim saat beraksi. Mereka beraksi saat korban tidak berada di lokasi. ""Beraksi saat korban tidak berada di warung. Dia masuk melalui atap seng rumah korban yang dibukanya,"" ujar Supangat. Saat melakukan aksi tersebut, korban menggasak habis isi warung termasuk di antaranya 21 tabung gas hingga karung pupuk. Bahkan saat dilakukan pendalaman pelaku dan rekannya ini juga pernah beraksi di tempat lainnya. ""Salah satu korban pencurian yang dilakukan oleh kelompok ini mengalami kerugian hingga Rp 40 juta, sementara korban lainnya menderita kerugian sebesar Rp 35 juta,"" ucapnya. Kini, empat tersangka terancam bui dan akan dipersangkakan dengan pasal 363 KUHP tentang pencurian dan penggelapan.",77,1504
https://www.detik.com/jabar/hukum-dan-kriminal/d-7519149/anehnya-gani-ngaku-dikejar-hantu-hingga-tega-bacok-tetangga,"Anehnya Gani, Ngaku Dikejar Hantu hingga Tega Bacok Tetangga",2024-09-01 15:31:00,"Fathurahman Al Gani, warga Kelurahan Tuguraja, Kecamatan Cihideung, Kota Tasikmalaya bikin onar di kampungnya. Gara-gara minuman keras (miras), Gani halusinasi merasa dikejar-kejar makhluk tak kasat mata. Alkohol membuat Gani yang sehari-hari berprofesi jadi juru parkir itu, bertingkah konyol hingga brutal. Gani mengaku dikejar-kejar hantu. Ia pun jadi brutal dengan membacok seorang warga kampungnya. Peristiwa itu terjadi pada Rabu (10/7/2024) malam sekitar jam 23.00 WIB. Gani yang baru saja pulang bekerja di Jalan HZ Mustofa Kota Tasikmalaya, membeli 2 liter miras tradisional jenis tuak. SCROLL TO CONTINUE WITH CONTENT Sambil berjalan pulang, Gani menenggak habis minuman itu. Karuan saja perilakunya mulai ngaco. Seingatnya, Gani merasa sempat pulang ke rumahnya untuk membawa golok. Lalu dia jalan-jalan keliling kampung. Saat masuk ke gang Gunung Gadong, Gani merasa dikejar hantu. Dia berlari ke arah perkampungan hingga sampai di depan rumah Dedi Suryana, Ketua RT setempat. Di tempat itu dia bertemu dengan Priyatna dan Gandi, warga yang sedang mempersiapkan acara nonton bareng pertandingan sepak bola. Kepada kedua orang itu, Gani ngaku dikejar hantu. Kedatangan Gani yang berlari sambil terengah-engah, membuat Priyatna dan Gandi penasaran, lalu memeriksa ke mulut gang. Tapi nyatanya tak menemukan apa-apa. Tak ada hantu seperti yang diceritakannya. Kemudian entah apa sebabnya, Gani kemudian 'sensi' terhadap Priyatna, orang yang kurang dikenalnya. ""Maneh mah asa anyar euy, kakara ninggali, asa polontong. (Kamu seperti orang baru, saya baru bertemu, rasanya belagu),"" kata Gani kepada Priyatna. Paham orang itu sedang mabuk berat, Priyatna tak menghiraukan ucapan Fathurahman. Tapi Fathurahman sewot, dia menarik baju Priyatna hingga dia terjatuh. Insiden itu lalu dilerai oleh Gandi. Fathurahman disuruh pulang, untuk sementara dia beranjak pulang. Sekitar pukul 01.00 WIB, saat Priyatna dan Gandi berjalan kaki, dari arah belakang Gani menerjang dan membacok kepala Priyatna. Priyatna langsung tumbang, tapi dia sempat menarik tubuh Gani sehingga keduanya terjatuh. Gandi dan Ketua RT langsung bertindak, dia langsung mengamankan Gani dan menyerahkannya ke polisi. Sementara Priyatna langsung dilarikan ke RSUD dr Soekardjo. Akibat bacokan orang mabuk itu, kepalanya robek sepanjang 10 cm. Gani pun diseret ke meja hijau Pengadilan Negeri (PN) Tasikmalaya untuk mempertanggungjawabkan perbuatannya. Setelah melalui proses hukum, Gani dinilai melakukan aksi kriminal pelanggaran pasal 351 KUHP. Ia pun disidangkan di PN Tasikmalaya. Kapolsek Cihideung AKP Erustiana membenarkan pihaknya sedang menangani kasus tersebut. Dia juga membenarkan saat beraksi pelaku dalam kondisi mabuk berat. ""Iya yang juru parkir mabuk, sudah kami proses sekarang sedang disidangkan,"" kata Erustiana. Dia menambahkan kasus ini hendaknya menjadi pelajaran untuk menghindari kebiasaan mabuk-mabukan. ""Kami mengingatkan masyarakat untuk menghindari minuman keras dan selalu menjaga ketertiban serta keamanan di lingkungan masing-masing. Kerja sama antara masyarakat dan pihak kepolisian sangat diperlukan untuk menciptakan suasana yang aman dan kondusif,"" kata Erustiana.",60,3171
https://www.detik.com/sumut/hukum-dan-kriminal/d-7517846/mahasiswa-pkl-di-kantor-bawaslu-lampung-ditembak-pelaku-ditangkap,"Mahasiswa PKL di Kantor Bawaslu Lampung Ditembak, Pelaku Ditangkap",2024-08-31 12:30:00,"Mahasiswa yang sedang melaksanakan PKL (pelatihan kerja lapangan) di Kantor Bawaslu Lampu ditembak OTK. Polisi pun gerak cepat dan berhasil menangkap pelaku. Pelaku kini ditahan dan diperiksa di Mapolsek Sukarame. Kanitreskrim Polsek Sukarame Ipda Muazam membenarkan penangkapan tersebut. ""Alhamdulillah sudah tertangkap pelaku penembakan mahasiswa di kantor Bawaslu Lampung,"" katanya, Sabtu (31/8/2024). SCROLL TO CONTINUE WITH CONTENT Muazam menyebut, pelaku ditangkap di wilayah Desa Rangai, Kabupaten Lampung Selatan, Sabtu pagi, pukul 04.00 WIB. ""Tadi pagi sekitar pukul 04.00 WIB, kami tangkap di wilayah Rangai, Lampung Selatan. Saat ini masih dilakukan pemeriksaan,"" tandasnya. Sebelumnya diberitakan, seorang mahasiswa bernama Sandi Polanda yang sedang PKL di Kantor Bawaslu Lampung ditembak orang tak dikenal. Dia ditembak seorang tamu yang menginap di Hotel Asoka Bandar Lampung. Peristiwa penembakan ini terjadi pada Rabu (28/8/2024) siang saat korban sedang duduk santai di lantai dua kantor Bawaslu. ""Peristiwanya Rabu lalu, saat itu korban ini tengah beristirahat siang di lantai 2 kantor Bawaslu Lampung. Kemudian dia merasakan ada suara dentingan dan dia merasakan tangannya terkena sesuatu, kemudian dia sadar ada peluru yang mengenai tangannya. Atas peristiwa tersebut dia langsung melaporkan ke pihak security kantor Bawaslu,"" kata Kabidhumas Polda Lampung, Kombes Umi Fadillah Astutik.",66,1406
