judul_stop_removed,isi_stop_removed
"['4', 'anak', 'bawah', 'umur', 'sangka', 'bunuh', 'palembang', 'kata']","['laku', 'bunuh', 'perkosa', 'aa', '14', 'orang', 'remaja', 'putri', 'kubur', 'cina', 'palembang', 'tangkap', 'tetap', 'sangka', 'empat', 'sangka', 'rupa', 'anak', 'bawah', 'umur', 'sama', 'korban', 'hukum', 'universitas', 'taman', 'siswa', 'palembang', 'dr', 'azwar', 'agus', 'turut', 'prihatin', 'jadi', 'bunuh', 'remaja', 'putri', 'laku', 'remaja', 'lakilaki', 'usia', 'baya', 'korban', 'jadi', 'sangat', 'prihatin', 'lihat', 'aspek', 'hukum', 'jahat', 'bendung', 'iring', 'kembang', 'ilmu', 'tahu', 'teknologi', 'peran', 'media', 'sosial', 'mana', 'salah', 'satu', 'sangka', 'akses', 'film', 'biru', 'porno', 'ujar', 'kamis', '592024', 'scroll', 'to', 'continue', 'with', 'content', 'turut', 'kontenkonten', 'negatif', 'seksual', 'hindar', 'jadi', 'picu', 'jahat', 'bukti', 'anak', 'sebut', 'akses', 'kontenkonten', 'pornografi', 'picu', 'tindak', 'pidana', 'benar', 'konten', 'film', 'porno', 'akses', 'anakanak', 'akses', 'orang', 'dewasa', 'jadi', 'picu', 'tindak', 'kriminalitas', 'hadap', 'orang', 'tutur', 'anak', 'akses', 'lihat', 'lalu', 'handphone', 'timbul', 'efek', 'cukup', 'signifikan', 'hadap', 'diri', 'pengaruh', 'bila', 'imam', 'kontrol', 'orang', 'tua', 'timbul', 'maju', 'tahu', 'teknologi', 'tadi', 'bendung', 'gaul', 'anak', 'sekarang', 'butuh', 'kontrol', 'orang', 'tua', 'pantau', 'orang', 'tua', 'apa', 'tang', 'lihat', 'medsos', 'natural', 'jadi', 'ucap', 'azwar', 'jelas', 'jadi', 'jadi', 'sangka', 'hukum', 'meski', 'rasa', 'keluarga', 'korban', 'timpal', 'tetap', 'ancam', 'pidana', 'ancam', 'pidana', 'beda', 'orang', 'dewasa', 'anak', 'masa', 'depan', 'bangsa', 'tindak', 'pidana', 'negara', 'pikir', 'hidup', 'anak', 'sebut', 'panjang', 'tutur', 'memang', 'hukum', 'beri', 'adil', 'korban', 'keluarga', 'korban', 'sangka', 'beri', 'hukum', 'harap', 'depan', 'orang', 'tua', 'kontrol', 'awas', 'hari', 'anak', 'peran', 'orang', 'dewasa', 'orang', 'tua', 'sangat', 'penting', 'minimal', 'orang', 'tua', 'beri', 'giat', 'positif', 'anak', 'jadi', 'perlu', 'awas', 'sama', 'pungkas']"
"['26', 'sangka', 'bekuk', 'lama', '3', 'bulan', 'akhir', 'kota', 'probolinggo']","['waktu', 'kurang', 'lebih', '3', 'bulan', 'polres', 'probolinggo', 'kota', 'bekuk', 'puluh', 'sangka', 'bagai', 'kasus', 'kasus', 'mulai', 'kasus', 'bunuh', 'hingga', 'kasus', 'obatobatan', 'larang', 'rinciannya', '26', 'sangka', 'bekuk', '10', 'kasus', 'sabu', '6', 'kasus', 'obat', 'keras', 'bahaya', 'okerbaya', '5', 'kasus', 'kriminalitas', 'bunuh', 'istri', 'suami', 'siri', 'gelap', 'jabat', 'uang', 'sewa', 'korupsi', 'dana', 'desa', 'kapolres', 'probolinggo', 'kota', 'akbp', 'oki', 'ahadian', 'purwono', 'kata', 'jumlah', 'kasus', 'tanda', 'memang', 'angka', 'jahat', 'wilayah', 'hukum', 'tingkat', 'oki', 'janji', 'upaya', 'tekan', 'sebut', 'scroll', 'to', 'continue', 'with', 'content', 'angka', 'jahat', 'memang', 'tingkat', 'perlu', 'digarisbawahi', 'angka', 'tangkap', 'laku', 'tingkat', 'pr', 'lanjut', 'tekan', 'turun', 'angka', 'sebut', 'ujar', 'oki', 'kamis', '592024', 'tangkap', 'lanjut', 'oki', 'sita', 'barang', 'bukti', '6', 'gram', 'sabu', '5300', 'butir', 'pil', 'koplo', 'bagai', 'merek', 'kasus', 'edar', 'obatobatan', 'larang', 'sepeda', 'motor', 'celurit', 'jumlah', 'dokumen', 'semua', 'aman', 'sita', 'unit', 'masingmasing', 'harap', 'partisipasi', 'warga', 'kota', 'probolinggo', 'turun', 'angka', 'sangat', 'penting', 'kerja', 'maksimal', 'bantu', 'masyarakat', 'ungkap', 'oki', 'kasus', 'sabu', 'sangka', 'kena', 'pasal', '114', '112', 'uu', 'nomor', '35', 'tahun', '2009', 'narkotika', 'kasus', 'edar', 'pil', 'koplo', 'sangka', 'jerat', 'uu', 'nomor', '17', 'tahun', '2003', 'sehat', 'ancam', 'hukum', '5', 'tahun', 'maksimal', '12', 'tahun', 'sedang', 'kasus', 'kriminalitas', 'sangka', 'jerat', 'pasal', '2', 'pasal', '3', 'uu', 'nomor', '31', 'tahun', '1999', 'berantas', 'korupsi', 'hingga', 'pasal', '374', 'kuhp', 'ancam', 'hukum', '5', 'tahun', 'hingga', 'maksimal', '15', 'tahun', 'penjara']"
"['kerja', 'kafe', 'siram', 'air', 'keras', 'hingga', 'wajah', 'asap', 'laku', 'tangkap']","['orang', 'kerja', 'kafe', 'cengkareng', 'mas', '32', 'duga', 'siram', 'air', 'keras', 'a', 'teman', 'kerja', 'wajah', 'korban', 'asap', 'akibat', 'kena', 'siram', 'duga', 'air', 'keras', 'video', 'siram', 'duga', 'air', 'keras', 'sebar', 'luas', 'hingga', 'viral', 'media', 'social', 'lansir', 'detiknews', 'peristiwa', 'narasi', 'jadi', 'minggu', '19', 'malam', 'video', 'lihat', 'korban', 'bonceng', 'kendara', 'sepeda', 'motor', 'korban', 'tampak', 'buntut', 'orang', 'laku', 'bonceng', 'satu', 'motor', 'scroll', 'to', 'continue', 'with', 'content', 'kemudian', 'laku', 'mepet', 'korban', 'siram', 'cair', 'duga', 'air', 'keras', 'arah', 'wajah', 'korban', 'lakilaki', 'laku', 'langsung', 'putar', 'balik', 'kendara', 'tancap', 'gas', 'tinggal', 'lokasi', 'korban', 'lihat', 'turun', 'motor', 'kondisi', 'tubuh', 'asap', 'lantar', 'duga', 'kena', 'air', 'keras', 'korban', 'tampak', 'usap', 'muka', 'sembari', 'mering', 'sakit', 'minta', 'bantu', 'warga', 'warga', 'jibaku', 'ambil', 'ember', 'risi', 'air', 'lalu', 'siram', 'korban', 'korban', 'tampak', 'geletak', 'tak', 'daya', 'sakit', 'lantar', 'peristiwa', 'jadi', 'kapolres', 'metro', 'jakarta', 'barat', 'kombes', 'm', 'syahduddi', 'benar', 'peristiwa', 'sebut', 'kasus', 'lapor', 'polsek', 'cengkareng', 'benar', 'jadi', 'sebut', 'peristiwa', 'sebut', 'lapor', 'polsek', 'cengkareng', 'kata', 'syahduddi', 'lalu', 'tangkap', 'kapolsek', 'cengkareng', 'kompol', 'stanlly', 'soselisa', 'tambah', 'laku', 'rekan', 'kerja', 'korban', 'rupa', 'waiters', 'kafe', 'sama', 'laku', 'teman', 'kerja', 'korban', 'kafe', 'cengkareng', 'laku', 'korban', 'rupa', 'waiters', 'salah', 'satu', 'kafe', 'kata', 'pisah', 'stanlly', 'kata', 'laku', 'tangkap', 'senin', '29', 'malam', 'buah', 'kafe', 'kawasan', 'cengkareng', 'jakarta', 'barat', 'tahu', 'motif', 'siram', 'air', 'keras', 'sebut', 'laku', 'jalan', 'periksa', 'laku', 'masuk', 'kafe', 'tim', 'opsnal', 'langsung', 'masuk', 'aman', 'laku', 'laku', 'bawa', 'mapolsek', 'cengkareng', 'minta', 'terang', 'lebih', 'lanjut', 'jelas']"
"['hilang', 'nyawa', 'pria', 'simalungun', 'gegara', 'rebut', 'mikrofon', 'warung', 'tuak']","['gegara', 'rebut', 'mikrofon', 'nyanyi', 'warung', 'tuak', 'hermansyah', 'pohan', '36', 'hilang', 'nyawa', 'tikam', 'zs', '36', 'tengah', 'mabuk', 'rebut', 'hendak', 'nyanyi', 'warung', 'miras', 'tradisional', 'sebut', 'jadi', 'jadi', 'dusun', 'iii', 'nagori', 'bahliran', 'siborna', 'camat', 'panei', 'kabupaten', 'simalungun', 'sabtu', '3182024', 'malam', 'korban', 'laku', 'samasama', 'minum', 'tuak', 'warung', 'sebut', 'hingga', 'mabuk', 'korban', 'laku', 'samasama', 'minum', 'tuak', 'kedai', 'kata', 'kasat', 'reskrim', 'polres', 'simalungun', 'akp', 'ghulam', 'yanuar', 'luthfi', 'detiksumut', 'senin', '292024', 'scroll', 'to', 'continue', 'with', 'content', 'korban', 'lalu', 'minta', 'mikrofon', 'laku', 'nyanyi', 'korban', 'asyik', 'nyanyi', 'rasa', 'singgung', 'datang', 'korban', 'meja', 'belah', 'sempat', 'libat', 'saling', 'dorong', 'hingga', 'laku', 'zs', 'keluar', 'pisau', 'bawa', 'langsung', 'tikam', 'perut', 'korban', 'unjung', 'warung', 'tuak', 'sebut', 'langsung', 'lari', 'korban', 'rumah', 'sakit', 'tak', 'lama', 'tiba', 'rs', 'korban', 'tinggal', 'dunia', 'selisih', 'korban', 'minta', 'mic', 'sangka', 'ganti', 'nyanyi', 'tambah', 'ghulam', 'laku', 'lari', 'diri', 'kiri', 'kejar', 'pihak', 'polisi', 'sedang', 'jasad', 'korban', 'bawa', 'rs', 'bhayangkara', 'medan', 'autopsi', 'mayat', 'korban', 'alami', 'luka', 'tusuk', 'dada', 'perut', 'lengan', 'kiri', 'dekat', 'bahu', 'pungkas']"
"['utang', 'rp', '3', 'juta', 'bikin', 'pegawai', 'akper', 'tewas', 'tangan', 'pasang', 'jenis']","['hidup', 'pria', 'nama', 'monika', 'hutauruk', '45', 'akhir', 'usai', 'bunuh', 'pasang', 'sama', 'jenis', 'bsh', '38', 'pria', 'seharihari', 'kerja', 'bagai', 'pegawai', 'akademi', 'awat', 'akper', 'tarutung', 'sebut', 'tewas', 'asrama', 'kapolres', 'taput', 'akbp', 'ernis', 'siinjak', 'jelas', 'korban', 'temu', 'tewas', 'asmara', 'akper', 'tarutung', 'jalan', 'kolonel', 'liberty', 'malau', 'camat', 'tarutung', 'tempat', 'kerja', 'jumat', '308', 'sekira', 'pukul', '1300', 'wib', 'duga', 'tewas', 'bunuh', 'korban', 'tahu', 'tinggal', 'asrama', 'lalu', 'laku', 'visum', 'rs', 'tarutung', 'hasil', 'duga', 'kuat', 'tewas', 'korban', 'akibat', 'buat', 'tindak', 'pidana', 'kata', 'akbp', 'ernis', 'sitinjak', 'konferensi', 'pers', 'senin', '292024', 'scroll', 'to', 'continue', 'with', 'content', 'ungkap', 'kasus', 'sebut', 'orang', 'warga', 'lapor', 'jasad', 'asrama', 'didik', 'tinggi', 'sebut', 'polisi', 'terima', 'lapor', 'langsung', 'turun', 'tkp', 'tiba', 'tkp', 'korban', 'temu', 'posisi', 'lentang', 'keluar', 'darah', 'hidung', 'mulut', 'ujar', 'awal', 'pihak', 'keluarga', 'korban', 'sempat', 'tolak', 'jasad', 'korban', 'autopsi', 'keluarga', 'duga', 'korban', 'tewas', 'sakit', 'jantung', 'memang', 'derita', 'polisi', 'duga', 'hingga', 'beri', 'jelas', 'keluarga', 'korban', 'hingga', 'akhir', 'sedia', 'korban', 'autopsi', 'awal', 'keluarga', 'korban', 'anggap', 'tinggal', 'korban', 'curiga', 'duga', 'bunuh', 'anggap', 'korban', 'tinggal', 'sakit', 'jantung', 'pasang', 'ring', 'jantung', 'sempat', 'tolak', 'laku', 'autopsi', 'mayat', 'kata', 'ernis', 'hasil', 'lidi', 'ungkap', 'identitas', 'laku', 'hasil', 'tangkap', 'sabtu', '318', 'ungkap', 'korban', 'laku', 'rupa', 'pasang', 'sama', 'jenis', 'korban', 'sendiri', 'kata', 'ernis', 'milik', 'istri', 'tinggal', 'batam', 'pisah', 'ranjang', 'laku', 'periksa', 'diri', 'aku', 'buat', 'bunuh', 'korban', 'turut', 'laku', 'hubung', 'asmara', 'sama', 'jenis', 'diri', 'korban', 'langsung', 'lama', 'sejak', 'tahun', '2022', 'ujar', 'aku', 'laku', 'korban', 'bunuh', 'sadis', 'leher', 'jerat', 'kabel', 'setrika', 'hingga', 'tewas', 'usai', 'korban', 'tewas', 'laku', 'lari', 'diri', 'laku', 'nekat', 'bunuh', 'ambil', 'kabel', 'setrika', 'rumah', 'korban', 'jerat', 'leher', 'korban', 'sekuatkuatnya', 'korban', 'daya', 'lemas', 'laku', 'biar', 'korban', 'lentang', 'lantai', 'hingga', 'tewas', 'tewas', 'laku', 'lari', 'diri', 'pintu', 'depan', 'tutup', 'pintu', 'rapi', 'pungkas', 'kasi', 'humas', 'porles', 'taput', 'aiptu', 'walpon', 'baringbing', 'kata', 'korban', 'rupa', 'pegawai', 'akper', 'tarutung', 'korban', 'tugas', 'bagai', 'awas', 'asrama', 'akper', 'korban', 'pegawai', 'yayasan', 'akper', 'jadi', 'korban', 'awas', 'khusus', 'asrama', 'jaga', 'asrama', 'mahasiswa', 'bukan', 'dosen', 'kata', 'walpon', 'korban', 'laku', 'sempat', 'laku', 'hubung', 'seksual', 'sama', 'jenis', 'kamar', 'asrama', 'bunuh', 'jadi', 'peristiwa', 'jadi', 'laku', 'korban', 'laku', 'hubung', 'seksual', 'sama', 'jenis', 'kamar', 'asrama', 'tempat', 'tinggal', 'korban', 'kata', 'kapolres', 'taput', 'akbp', 'ernis', 'sitinjak', 'konferensi', 'pers', 'senin', '292024', 'usai', 'hubung', 'badan', 'lalu', 'libat', 'cekcok', 'perkara', 'utang', 'korban', 'tagih', 'utang', 'laku', 'banyak', 'rp', '3', 'juta', 'laku', 'hubung', 'seks', 'sama', 'jenis', 'jadi', 'tengkar', 'tengkar', 'picu', 'utang', 'laku', 'banyak', 'rp', '3', 'juta', 'tagih', 'paksa', 'korban', 'sebut', 'kemudian', 'laku', 'rasa', 'emosi', 'ambil', 'setrika', 'rumah', 'korban', 'lalu', 'laku', 'jerat', 'tali', 'setrika', 'sebut', 'leher', 'korban', 'hingga', 'buat', 'korban', 'tewas', 'sangka', 'tahan', 'kata', 'ernis', 'konferensi', 'pers', 'senin', '292024', 'ernis', 'kata', 'laku', 'jerat', 'pasal', '338', 'kuhpidana', 'bunuh', 'bsh', 'ancam', 'hukum', '15', 'tahun', 'penjara', 'kena', 'langgar', 'pasal', '338', 'kuhp', 'ancam', 'hukum', '15', 'tahun', 'penjara', 'ujar']"
"['gegara', 'rebut', 'mikrofon', 'warung', 'tuak', 'pria', 'simalungun', 'tewas', 'tikam']","['orang', 'pria', 'kabupaten', 'simalungun', 'sumatera', 'utara', 'sumut', 'nama', 'hermansyah', 'pohan', '36', 'tewas', 'tikam', 'zs', '36', 'tikam', 'jadi', 'korban', 'laku', 'sempat', 'rebut', 'mikrofon', 'nyanyi', 'warung', 'tuak', 'tempat', 'mabuk', 'kasat', 'reskrim', 'polres', 'simalungun', 'akp', 'ghulam', 'yanuar', 'luthfi', 'kata', 'peristiwa', 'jadi', 'kedai', 'tuak', 'dusun', 'iii', 'nagori', 'bahliran', 'siborna', 'camat', 'panei', 'sabtu', '318', 'malam', 'korban', 'laku', 'samasama', 'minum', 'tuak', 'kedai', 'kata', 'ghulam', 'konfirmasi', 'detiksumut', 'senin', '292024', 'scroll', 'to', 'continue', 'with', 'content', 'lalu', 'korban', 'minta', 'mikrofon', 'laku', 'nyanyi', 'korban', 'rasa', 'singgung', 'datang', 'korban', 'meja', 'belah', 'kemudian', 'libat', 'saling', 'dorong', 'hingga', 'akhir', 'laku', 'keluar', 'pisau', 'bawa', 'langsung', 'tikam', 'perut', 'korban', 'warga', 'warung', 'sebut', 'langsung', 'lari', 'korban', 'rumah', 'sakit', 'nahas', 'selang', 'beberapa', 'waktu', 'tiba', 'rumah', 'sakit', 'korban', 'nyata', 'tinggal', 'dunia', 'selisih', 'korban', 'minta', 'mic', 'sangka', 'ganti', 'nyanyi', 'ujar', 'pihak', 'polisi', 'terima', 'informasi', 'jadi', 'lalu', 'turun', 'lokasi', 'olah', 'tkp', 'lalu', 'jasad', 'korban', 'bawa', 'rs', 'bhayangkara', 'medan', 'autopsi', 'sedang', 'laku', 'kejar', 'pihak', 'polisi', 'mayat', 'korban', 'alami', 'luka', 'tusuk', 'dada', 'perut', 'lengan', 'kiri', 'dekat', 'bahu', 'pungkas']"
"['polisi', 'tangkap', 'kawan', 'curi', 'spesialis', 'bongkar', 'warung', 'asah', '1', 'tembak']","['polisi', 'tangkap', 'empat', 'orang', 'pria', 'kawan', 'curi', 'spesialis', 'bongkar', 'warung', 'pasar', 'kabupaten', 'asah', 'sumatera', 'utara', 'sumatera', 'utara', 'salah', 'orang', 'laku', 'paksa', 'tembak', 'kaki', 'lawan', 'tangkap', 'satu', 'laku', 'tangkap', 'sabtu', 'kemarin', 'lumpuh', 'kooperatif', 'libat', 'beberapa', 'kali', 'laku', 'curi', 'bongkar', 'warung', 'pasar', 'rumah', 'kosong', 'kata', 'kanit', 'jatanras', 'polres', 'asah', 'ipda', 'supangat', 'terang', 'wartawan', 'minggu', '192024', 'adapun', 'sangka', 'aman', 'fatar', 'simanjuntak', 'bagai', 'otak', 'laku', 'tangkap', 'fatar', 'tembak', 'kaki', 'kemudian', 'tiga', 'rekan', 'yovie', 'wibowo', 'said', 'aji', 'nando', 'pardede', 'scroll', 'to', 'continue', 'with', 'content', 'supangat', 'kata', 'laku', 'rupa', 'satu', 'tim', 'aksi', 'aksi', 'korban', 'lokasi', 'aksi', 'korban', 'warung', 'masuk', 'lalu', 'atap', 'seng', 'rumah', 'korban', 'buka', 'ujar', 'supangat', 'laku', 'aksi', 'sebut', 'korban', 'gasak', 'habis', 'isi', 'warung', 'masuk', '21', 'tabung', 'gas', 'hingga', 'karung', 'pupuk', 'bahkan', 'laku', 'laku', 'rekan', 'pernah', 'aksi', 'tempat', 'salah', 'satu', 'korban', 'curi', 'laku', 'kelompok', 'alami', 'rugi', 'hingga', 'rp', '40', 'juta', 'korban', 'derita', 'rugi', 'besar', 'rp', '35', 'juta', 'ucap', 'kini', 'empat', 'sangka', 'ancam', 'bui', 'sangka', 'pasal', '363', 'kuhp', 'curi', 'gelap']"
"['aneh', 'gani', 'ngaku', 'kejar', 'hantu', 'hingga', 'tega', 'bacok', 'tetangga']","['fathurahman', 'al', 'gani', 'warga', 'lurah', 'tuguraja', 'camat', 'cihideung', 'kota', 'tasikmalaya', 'bikin', 'onar', 'kampung', 'garagara', 'minum', 'keras', 'miras', 'gani', 'halusinasi', 'rasa', 'dikejarkejar', 'makhluk', 'tak', 'kasat', 'mata', 'alkohol', 'buat', 'gani', 'seharihari', 'profesi', 'jadi', 'juru', 'parkir', 'ting', 'konyol', 'hingga', 'brutal', 'gani', 'aku', 'dikejarkejar', 'hantu', 'jadi', 'brutal', 'bacok', 'orang', 'warga', 'kampung', 'peristiwa', 'jadi', 'rabu', '1072024', 'malam', 'jam', '2300', 'wib', 'gani', 'baru', 'pulang', 'kerja', 'jalan', 'hz', 'mustofa', 'kota', 'tasikmalaya', 'beli', '2', 'liter', 'miras', 'tradisional', 'jenis', 'tuak', 'scroll', 'to', 'continue', 'with', 'content', 'jalan', 'pulang', 'gani', 'tenggak', 'habis', 'minum', 'karuan', 'perilaku', 'mulai', 'ngaco', 'ingat', 'gani', 'rasa', 'sempat', 'pulang', 'rumah', 'bawa', 'golok', 'lalu', 'jalanjalan', 'keliling', 'kampung', 'masuk', 'gang', 'gunung', 'gadong', 'gani', 'rasa', 'kejar', 'hantu', 'lari', 'arah', 'kampung', 'hingga', 'depan', 'rumah', 'dedi', 'suryana', 'ketua', 'rt', 'tempat', 'tempat', 'temu', 'priyatna', 'gandi', 'warga', 'sedang', 'siap', 'acara', 'nonton', 'bareng', 'tanding', 'sepak', 'bola', 'orang', 'gani', 'ngaku', 'kejar', 'hantu', 'datang', 'gani', 'lari', 'terengahengah', 'buat', 'priyatna', 'gandi', 'penasaran', 'lalu', 'periksa', 'mulut', 'gang', 'nyata', 'tak', 'temu', 'apaapa', 'tak', 'hantu', 'cerita', 'kemudian', 'entah', 'apa', 'gani', 'kemudian', 'sensi', 'hadap', 'priyatna', 'orang', 'kurang', 'kenal', 'maneh', 'mah', 'asa', 'anyar', 'euy', 'kakara', 'ninggali', 'asa', 'polontong', 'kamu', 'orang', 'baru', 'baru', 'temu', 'rasa', 'belagu', 'kata', 'gani', 'priyatna', 'paham', 'orang', 'sedang', 'mabuk', 'berat', 'priyatna', 'tak', 'hirau', 'ucap', 'fathurahman', 'fathurahman', 'sewot', 'tarik', 'baju', 'priyatna', 'hingga', 'jatuh', 'insiden', 'lalu', 'lerai', 'gandi', 'fathurahman', 'suruh', 'pulang', 'anjak', 'pulang', 'pukul', '0100', 'wib', 'priyatna', 'gandi', 'jalan', 'kaki', 'arah', 'belakang', 'gani', 'terjang', 'bacok', 'kepala', 'priyatna', 'priyatna', 'langsung', 'tumbang', 'sempat', 'tarik', 'tubuh', 'gani', 'jatuh', 'gandi', 'ketua', 'rt', 'langsung', 'tindak', 'langsung', 'aman', 'gani', 'serah', 'polisi', 'priyatna', 'langsung', 'lari', 'rsud', 'dr', 'soekardjo', 'akibat', 'baco', 'orang', 'mabuk', 'kepala', 'robek', 'panjang', '10', 'cm', 'gani', 'seret', 'meja', 'hijau', 'adil', 'negeri', 'pn', 'tasikmalaya', 'mempertanggungjawabkan', 'buat', 'lalu', 'proses', 'hukum', 'gani', 'nilai', 'laku', 'aksi', 'kriminal', 'langgar', 'pasal', '351', 'kuhp', 'sidang', 'pn', 'tasikmalaya', 'kapolsek', 'cihideung', 'akp', 'erustiana', 'benar', 'pihak', 'sedang', 'tangan', 'kasus', 'sebut', 'benar', 'aksi', 'laku', 'kondisi', 'mabuk', 'berat', 'iya', 'juru', 'parkir', 'mabuk', 'proses', 'sekarang', 'sedang', 'sidang', 'kata', 'erustiana', 'tambah', 'kasus', 'hendak', 'jadi', 'ajar', 'hindar', 'biasa', 'mabukmabukan', 'ingat', 'masyarakat', 'hindar', 'minum', 'keras', 'selalu', 'jaga', 'tertib', 'aman', 'lingkung', 'masingmasing', 'kerja', 'sama', 'masyarakat', 'pihak', 'polisi', 'sangat', 'perlu', 'cipta', 'suasana', 'aman', 'kondusif', 'kata', 'erustiana']"
"['mahasiswa', 'pkl', 'kantor', 'bawaslu', 'lampung', 'tembak', 'laku', 'tangkap']","['mahasiswa', 'sedang', 'laksana', 'pkl', 'latih', 'kerja', 'lapang', 'kantor', 'bawaslu', 'lampu', 'tembak', 'otk', 'polisi', 'gerak', 'cepat', 'hasil', 'tangkap', 'laku', 'laku', 'kini', 'tahan', 'periksa', 'mapolsek', 'sukarame', 'kanitreskrim', 'polsek', 'sukarame', 'ipda', 'muazam', 'benar', 'tangkap', 'sebut', 'alhamdulillah', 'tangkap', 'laku', 'tembak', 'mahasiswa', 'kantor', 'bawaslu', 'lampung', 'kata', 'sabtu', '3182024', 'scroll', 'to', 'continue', 'with', 'content', 'muazam', 'sebut', 'laku', 'tangkap', 'wilayah', 'desa', 'rangai', 'kabupaten', 'lampung', 'selatan', 'sabtu', 'pagi', 'pukul', '0400', 'wib', 'tadi', 'pagi', 'pukul', '0400', 'wib', 'tangkap', 'wilayah', 'rangai', 'lampung', 'selatan', 'laku', 'periksa', 'tandas', 'berita', 'orang', 'mahasiswa', 'nama', 'sandi', 'polanda', 'sedang', 'pkl', 'kantor', 'bawaslu', 'lampung', 'tembak', 'orang', 'tak', 'kenal', 'tembak', 'orang', 'tamu', 'inap', 'hotel', 'asoka', 'bandar', 'lampung', 'peristiwa', 'tembak', 'jadi', 'rabu', '2882024', 'siang', 'korban', 'sedang', 'duduk', 'santai', 'lantai', 'kantor', 'bawaslu', 'peristiwa', 'rabu', 'lalu', 'korban', 'tengah', 'istirahat', 'siang', 'lantai', '2', 'kantor', 'bawaslu', 'lampung', 'kemudian', 'rasa', 'suara', 'denting', 'rasa', 'tangan', 'kena', 'kemudian', 'sadar', 'peluru', 'kena', 'tangan', 'atas', 'peristiwa', 'sebut', 'langsung', 'lapor', 'pihak', 'security', 'kantor', 'bawaslu', 'kata', 'kabidhumas', 'polda', 'lampung', 'kombes', 'umi', 'fadil', 'astutik']"
"['ngeri', 'mahasiswa', 'pkl', 'bawaslu', 'lampung', 'tembak', 'otk']","['orang', 'mahasiswa', 'sedang', 'pkl', 'bawaslu', 'lampung', 'tembak', 'orang', 'tak', 'kenal', 'korban', 'tembak', 'tangan', 'kiri', 'lansir', 'detiksumbagsel', 'informasi', 'himpun', 'peristiwa', 'jadi', 'rabu', '2882024', 'kantor', 'bawaslu', 'lampung', 'jalan', 'morotai', 'kota', 'bandar', 'lampung', 'korban', 'aku', 'tembak', 'salah', 'satu', 'kamar', 'salah', 'satu', 'hotel', 'dekat', 'tempat', 'diri', 'kerja', 'adapun', 'jenis', 'peluru', 'kena', 'tangan', 'jenis', 'gotri', 'senjata', 'air', 'soft', 'gun', 'scroll', 'to', 'continue', 'with', 'content', 'jadi', 'sebut', 'badan', 'awas', 'milu', 'bawaslu', 'lampung', 'angkat', 'bicara', 'bawaslu', 'sebut', 'korban', 'orang', 'mahasiswa', 'salah', 'satu', 'guru', 'tinggi', 'lampung', 'benar', 'jadi', 'kemarin', 'siang', 'korban', 'anak', 'pkl', 'salah', 'satu', 'mahasiswa', 'lampung', 'kata', 'ketua', 'bawaslu', 'lampung', 'iskardo', 'p', 'panggar', 'kamis', '298', 'iskardo', 'kata', 'pihak', 'polisi', 'tengah', 'laku', 'lidi', 'kait', 'peristiwa', 'sebut', 'langsung', 'koordinasi', 'pihak', 'polisi', 'pihak', 'polisi', 'langsung', 'sigap', 'laku', 'lidi', 'lidi', 'tandas']"
