index,url,judul,tanggal,total_entities,gpe_count,gpe_entities,gpe_avg_score,gpe_max_score,loc_count,loc_entities,loc_avg_score,loc_max_score,nor_count,nor_entities,nor_avg_score,nor_max_score,law_count,law_entities,law_avg_score,law_max_score,dat_count,dat_entities,dat_avg_score,dat_max_score,per_count,per_entities,per_avg_score,per_max_score,crimetype_count,crimetype_entities,crimetype_avg_score,crimetype_max_score,evidence_count,evidence_entities,evidence_avg_score,evidence_max_score
0,https://www.detik.com/sumbagsel/hukum-dan-kriminal/d-7526252/4-anak-di-bawah-umur-tersangka-pembunuhan-di-palembang-ini-kata-pengamat,"4 Anak di Bawah Umur Tersangka Pembunuhan di Palembang, Ini Kata Pengamat",2024-09-05 20:30:00,12,1,ĠPalembang,0.598,0.598,1,ĠKub uran ĠCina,0.986,0.986,1,ĠUniversitas ĠTaman ĠSiswa ĠPalembang,0.988,0.988,0,,0.0,0.0,2,Kamis; 5/9/2024,0.95,0.95,3,ĠAA; ĠDr ĠAzwar ĠAgus; ĠAzwar,0.988,0.997,3,pembunuhan; pemerkosaan; pembunuhan,1.0,1.0,1,handphone,1.0,1.0
1,https://www.detik.com/jatim/hukum-dan-kriminal/d-7526567/26-tersangka-dibekuk-selama-3-bulan-terakhir-di-kota-probolinggo,26 Tersangka Dibekuk Selama 3 Bulan Terakhir di Kota Probolinggo,2024-09-05 18:38:00,26,1,ĠKota ĠProbolinggo,0.941,0.941,0,,0.0,0.0,0,,0.0,0.0,6,Ġpasal Ġ 114 Ġdan Ġ 112 ĠUU Ġnomor Ġ 35 Ġtahun 200 9 Ġtentang Ġnarkotika; ĠUU Ġnomor Ġ 17 Ġtahun Ġ 200 3 Ġtentang Ġkesehatan; 5; Ġpasal Ġ 2 Ġpasal Ġ 3 ĠUU Ġnomor Ġ 31 Ġtahun Ġ 199 9 Ġtentang Ġpemberantasan; Ġpasal Ġ 374 ĠKUHP; 5,0.955,0.997,2,Kamis; 5/9/2024,0.95,0.95,5,ĠAKBP ĠOki ĠA had ian ĠPurw ono; ĠOki; ĠOki; ĠOki; ĠOki,0.981,0.987,10,pembunuhan; kasus sabu; pembunuhan; penggelapan; korupsi dana desa; narkoba; peredaran obat-obatan terlarang; kasus sabu; peredaran pil koplo; korupsi,0.99,1.0,2,barang bukti; dokumen,1.0,1.0
2,https://www.detik.com/jatim/hukum-dan-kriminal/d-7524973/kriminalitas-surabaya-marak-pengamat-sebut-penanganannya-tertatih-tatih,"Kriminalitas Surabaya Marak, Pengamat Sebut Penanganannya Tertatih-tatih",2024-09-05 02:01:00,14,2,ĠSurabaya; ĠSurabaya,1.0,1.0,0,,0.0,0.0,2,ĠAhli Ġpidana ĠUniversitas ĠBhayangkara Ġ( U bara ) ĠSurabaya; Ġdetik Jatim,0.963,0.972,0,,0.0,0.0,2,Rabu; 4/9/2024,0.95,0.95,6,ĠProf .D r ĠS olah udin; ĠS olah udin; ĠS olah udin; ĠS olah udin; ĠS olah udin; ĠS olah udin,0.812,0.955,2,gangster; begal,1.0,1.0,0,,0.0,0.0
3,https://www.detik.com/sumut/hukum-dan-kriminal/d-7524497/pekerja-kafe-disiram-air-keras-hingga-wajah-berasap-pelaku-ditangkap,"Pekerja Kafe Disiram Air Keras hingga Wajah 'Berasap', Pelaku Ditangkap",2024-09-04 21:40:00,16,2,ĠCengkareng; ĠCengkareng ĠJakarta ĠBarat,0.99,0.995,2,ĠCengkareng; ĠMapolsek ĠCengkareng,0.379,0.528,1,Ġdetik News,0.996,0.996,0,,0.0,0.0,4,Minggu; malam; Senin; malam ,0.95,0.95,6,ĠMAS; ĠA; ĠKombes ĠM ĠSyah d udd i; ĠSyah d udd i; ĠKompol ĠStan l ly ĠSos el isa; ĠStan l ly,0.952,0.999,1,penyiraman air keras,1.0,1.0,0,,0.0,0.0
4,https://www.detik.com/sumut/hukum-dan-kriminal/d-7521470/hilang-nyawa-pria-di-simalungun-gegara-rebutan-mikrofon-di-warung-tuak,Hilang Nyawa Pria di Simalungun gegara Rebutan Mikrofon di Warung Tuak,2024-09-03 09:03:00,15,2,iran; or ĠKecamatan ĠPan ei ĠKabupaten ĠSimalungun,0.734,0.948,2,ĠDusun ĠIII ĠNag ori ĠB ahl; ĠSib na,0.696,0.823,0,,0.0,0.0,0,,0.0,0.0,5,Sabtu; 31/8/2024; malam; Senin; 2/9/2024,0.95,0.95,6,ĠHermansyah ĠP ohan; ĠZ S; ĠAKP ĠGh ulam ĠYanuar ĠLuthfi; Sumut; ĠZ S; ĠGh ulam,0.868,0.98,0,,0.0,0.0,0,,0.0,0.0
5,https://www.detik.com/sumut/hukum-dan-kriminal/d-7521480/utang-rp-3-juta-bikin-pegawai-akper-tewas-di-tangan-pasangan-sejenis,Utang Rp 3 Juta Bikin Pegawai Akper Tewas di Tangan Pasangan Sejenis,2024-09-03 08:01:00,43,3,ĠTar utung; ĠKecamatan ĠTar utung; ĠBatam,0.839,0.999,3,ĠAk per ĠTar utung ĠJalan ĠKolonel ĠLiberty ĠM alau; Ġpendidikan; ĠAk per,0.725,0.988,4,Ġakademi Ġkep erawatan Ak per; utung; ĠAk per ĠTar utung; Ġyayasan ĠAk per,0.814,0.966,3,ĠPasal Ġ 338 ĠKUHPidana Ġtentang; ĠPasal Ġ 338 ĠKUHP; 15,0.803,0.999,9,Jumat; pukul 13.00; Senin; 2/9/2024; Sabtu; Senin; 2/9/2024; Senin; 2/9/2024,0.95,0.95,12,ĠMon ika ĠH uta uruk; ĠB SH; ĠAKBP ĠEr nis ĠSi injak; ĠAKBP ĠEr nis ĠSit injak; ĠEr nis; ĠEr nis; ĠAiptu ĠWal pon ĠBar ing bing; ĠWal pon; ĠAKBP ĠEr nis ĠSit injak; ĠEr nis; ĠEr nis; ĠB SH,0.824,0.982,5,pembunuhan; pembunuhan; pembunuhan; pembunuhan; pembunuhan,0.96,1.0,4,visum; darah; autopsi; pengakuan,1.0,1.0
6,https://www.detik.com/sumut/hukum-dan-kriminal/d-7521344/gegara-rebutan-mikrofon-di-warung-tuak-pria-simalungun-tewas-ditikam,"Gegara Rebutan Mikrofon di Warung Tuak, Pria Simalungun Tewas Ditikam",2024-09-02 21:00:00,13,2,ĠKabupaten ĠSimalungun ĠSumatera ĠUtara Sumut; or ĠKecamatan ĠPan ei,0.946,0.987,1,ĠDusun ĠIII ĠNag ori ĠB ahl iran ĠSib na,0.658,0.658,1,Ġdetik Sumut,0.967,0.967,0,,0.0,0.0,4,Sabtu; malam; Senin; 2/9/2024,0.95,0.95,4,ĠHermansyah ĠP ohan; ĠZ S; ĠAKP ĠGh ulam ĠYanuar ĠLuthfi; ĠGh ulam,0.944,0.989,1,penikaman,1.0,1.0,0,,0.0,0.0
7,https://www.detik.com/sumut/hukum-dan-kriminal/d-7519375/polisi-tangkap-kawanan-pencuri-spesialis-bongkar-warung-di-asahan-1-ditembak,"Polisi Tangkap Kawanan Pencuri Spesialis Bongkar Warung di Asahan, 1 Ditembak",2024-09-01 19:00:00,19,1,ĠKabupaten ĠAsahan ĠSumatera ĠUtara Sumatera ĠUtara,0.99,0.99,0,,0.0,0.0,0,,0.0,0.0,2,Ġpasal Ġ 363 ĠKUHP Ġtentang; Ġdan,0.985,0.994,4,Sabtu; kemarin; Minggu; 1/9/2024,0.95,0.95,7,ĠIpda ĠSup angat; ĠF atar ĠSimanjuntak; ĠF atar; ĠY ovie ĠWibowo ĠSaid ĠAji; ĠN ando ĠPard ede; ĠSup angat; ĠSup angat,0.878,0.994,5,pencurian; pencurian; pencurian; pencurian; penggelapan,1.0,1.0,0,,0.0,0.0
8,https://www.detik.com/jabar/hukum-dan-kriminal/d-7519149/anehnya-gani-ngaku-dikejar-hantu-hingga-tega-bacok-tetangga,"Anehnya Gani, Ngaku Dikejar Hantu hingga Tega Bacok Tetangga",2024-09-01 15:31:00,50,2,ĠKelurahan ĠTug ura ja ĠKecamatan ĠCih ide ung ĠKota ĠTasikmalaya; ĠKota ĠTasikmalaya,0.811,0.983,4,ĠJalan ĠH Z ĠMustofa; Ġgang ĠGunung ĠGad ong; yana; Ġhijau,0.641,0.998,0,,0.0,0.0,2,ĠNegeri; Ġpasal Ġ 351 ĠKUHP,0.646,0.976,5,Rabu; 10/7/2024; malam ; 23.00 WIB; pukul 01.00,0.95,0.95,37,F ath urahman ĠAl ĠGani; ĠGani; ĠGani; ĠGani; ĠGani; ĠGani; ĠGani; ĠGani; ĠDedi; ĠPri yat na; ĠG andi; ĠGani; ĠGani; ĠPri yat na; ĠG andi; ĠGani; ĠPri yat na; ĠGani; ĠPri yat na; ĠPri yat na; ĠFath urahman; ĠFath urahman; ĠPri yat na; ĠG andi ĠFath urahman; ĠPri yat na; ĠG andi; ĠGani; ĠPri yat na ĠPri yat na; ĠGani; ĠG andi; ĠGani; ĠPri yat na; ĠGani; ĠGani; ĠAKP ĠEr ust iana; ĠEr ust iana; ĠEr ust iana,0.924,1.0,0,,0.0,0.0,0,,0.0,0.0
9,https://www.detik.com/sumut/hukum-dan-kriminal/d-7517846/mahasiswa-pkl-di-kantor-bawaslu-lampung-ditembak-pelaku-ditangkap,"Mahasiswa PKL di Kantor Bawaslu Lampung Ditembak, Pelaku Ditangkap",2024-08-31 12:30:00,28,2,ĠDesa ĠRang ai ĠKabupaten ĠLampung ĠSelatan; ĠRang ai ĠLampung ĠSelatan,0.959,0.973,8,ĠKantor ĠBawaslu ĠLampu; ĠMapolsek; Ġkantor ĠBawaslu ĠLampung; ĠKantor ĠBawaslu ĠLampung; ĠHotel ĠAs oka ĠBandar ĠLampung; Ġdua Ġkantor ĠBawaslu; Ġlantai Ġ 2 Ġkantor ĠBawaslu ĠLampung; Ġkantor ĠBawaslu,0.918,0.974,0,,0.0,0.0,0,,0.0,0.0,12,Sabtu; 31/8/2024; Sabtu; pagi; pukul 04.00; pagi ; pukul 04.00; Rabu; 28/8/2024; siang ; Rabu; siang ,0.95,0.95,4,ĠIpda ĠM ua zam; ĠM ua zam; ĠSandi ĠPol anda; ĠKombes ĠUmi ĠFad illah ĠAst utik,0.899,0.983,2,penembakan; penembakan,1.0,1.0,0,,0.0,0.0
