portal,url,judul,tanggal,isi_berita
detik.com,https://news.detik.com/berita/d-7914782/polisi-sebut-penjambret-ibu-didiet-maulana-lepas-pelat-motor-saat-beraksi,Polisi Sebut Penjambret Ibu Didiet Maulana Lepas Pelat Motor saat Beraksi,15 Mei 2025,"Polres Metro Jakarta Selatan masih memburu pelaku yang menjambret ibu dari desainer Didiet Maulana saat berolahraga pada di kawasan Kebayoran Baru, Jakarta Selatan. Polisi menyebut pelaku tidak memasang pelat nomor kendaraan saat beraksi. ""Memang itu pelat nomornya dari motor tersebut tidak terpasang, dan si pelaku menutup bagian wajahnya,"" kata Kasi Humas Polres Metro Jakarta Selatan, Kompol Murodih dilansir Antara, Kamis (15/5/2025). Karena hal tersebut, kata Murodih, pihaknya belum bisa menemukanpelaku penjambretan. Dia juga menjelaskan pihaknya telah melakukan penyelidikan dengan mengecek TKP juga melihat CCTV yang ada di lokasi. SCROLL TO CONTINUE WITH CONTENT Murodih mengatakan penjambretan itu terjadi pada Jumat (9/5) pagi pukul 06.30 WIB. Didiet Maulana, melalui akun media sosialnya@didietmaulana, mengabarkan bahwa ibunya tidak mengalami luka serius dan berharap pelaku segera tertangkap. ""Terima kasih atas doa dan dukungan dari semua pihak. Kami berharap kejadian seperti ini tidak terulang kembali dan pelakunya segera ditangkap,"" tulis Didiet dalam unggahannya. Dalam video yang dibagikan, terlihat ketika sang ibu tengah berlari kecil kemudian dihampiri pengendara motor dari arah belakang. Pengendara motor itu menarik paksa kalung yang dikenakan sang ibu hingga korban jatuh tersungkur. Kemudian, pelaku meninggalkan lokasi.  Simak juga Video: Didiet Maulana Jadi Lebih Protektif Seusai Ibunya Dijambret [Gambas:Video 20detik]"
detik.com,https://news.detik.com/berita/d-7914756/5-fakta-pebasket-asal-as-terjerat-narkoba-di-indonesia,5 Fakta Pebasket Asal AS Terjerat Narkoba di Indonesia,15 Mei 2025,"Pebasket asal Amerika Serikat, Jarred Dwayne Shaw (JDS) ditangkap Polresta Bandara Soekarno-Hatta (Soetta) terkait kasus narkoba. Jarred ditangkap setelah menerima paket narkoba jenis Delta 9 THC (tetrahydrocannabinol). Jarred Shaw ditangkap pada Rabu (7/5) pukul 21.47 WIB, di sebuah apartemen di Cisauk, Kabupaten Tangerang. Dalam rekaman video yang diperoleh, Jarred Shaw, terlihat memakai kaus dan celana pendek warna hitam. Dia terdengar berteiak 'help....help' saat hendak diamankan polisi. Jarred Shaw berusaha melawan polisi dan mendorongnya. Sejumlah polisi berusaha menahannya. SCROLL TO CONTINUE WITH CONTENT ""Tindak pidana berupa permen yang mengandung narkotika golongan jenis Delta 9 THC (tetrahydrocannabinol) yang melibatkan atlet basket profesional atas nama JDS oleh Satresnarkoba Polres Kota Bandara Soekarno-Hatta,"" kata Kapolresta Bandara Soetta Kombes Ronald FC Sipayung kepada wartawan, Rabu (14/5/2025). Jarred Shaw saat ini sudah ditetapkan sebagai tersangka dan ditahan. Dia terancam jeratan pidana mati terkait kasus tersebut. Berikut beberapa fakta Jarred Dwayne Shaw ditangkap di kasus narkoba: Kombes Ronald FC Sipayung mengatakan pengungkapan kasus ini dilakukan berkat kerja sama atau joint investigation antara pihak kepolisian dan pihak Bea dan Cukai Bandara Soetta. Dia menyebut pengungkapan ini diawali dari temuan pihak Bea-Cukai yang mencurigai adanya tindak pidana peredaran gelap narkotika yang dikirim dari Thailand ke Indonesia melalui jasa pengiriman. Dia menjelaskan saat itu pihak Bea-Cukai Bandara Soetta mendapati pengiriman berupa satu buah paket dari Thailand dengan nomor airway bill EE206616913TH dengan nama pengirim Jitnarec Konchinda beralamat di Bangkok. Paket tersebut berisikan 20 bungkus permen bertulisan 'Vita Bite' yang mengandung narkotika golongan I jenis Delta 9 THC (tetrahydrocannabinol) dengan jumlah keseluruhan 132 buah atau dengan keseluruhan berat bruto 869 gram. ""Selanjutnya dilakukan penangkapan terhadap pengambil paket EMS atas nama tersangka JDS pada hari Rabu tanggal 7 Mei 2025 sekira pukul 21.47 WIB di lobi apartemen,"" ujarnya. 2. Permen Ganja dari Thailand Dia ditangkap setelah polisi menyelidiki paket kiriman asal Thailand yang dicurigai berisi narkoba. Ronald mengatakan permen narkoba ini dikirim dari Thailand oleh pengirim bernama Jitnarec Konchinda. ""Pengirim Jitnarec Konchinda, alamat Pibuldham building 8, Bangkok, Thailand,"" jelas Ronald. Paket tersebut tidak mencantumkan nama Jarred sebagai penerima. Setelah diperiksa, paket tersebut ternyata berisikan 132 permen ganja. ""Di dalamnya berisikan 20 bungkus permen bertuliskan Vita Bite, yang berisi permen yang mengandung narkotika golongan I jenis Delta 9 THC (tetrahydrocannabinol) dengan jumlah keseluruhan 132 buah atau dengan keseluruhan berat brutto 869 gram,"" ujar Ronald. Polisi mengungkap alasan pebasket asal Amerika Serikat, Jarred Dwayne Shaw (JDS) membeli permen ganja tersebut. Kepada polisi, Jared mengaku akan membagikan permen ganja tersebut kepada rekannya yang juga pemain basket. ""Tersangka JDS akan memberikan permen yang mengandung narkotika golongan I jenis Delta 9 THC (tetrahydrocannabinol) kepada teman-temannya yang juga sesama pemain basket di Indonesia apabila barang tersebut sudah diterima olehnya,"" kata Kombes Ronald FC Sipayung. Dia menjelaskan dalam paket yang dikirim dari Thailand itu, Jarred tidak mencantumkan namanya sebagai penerima. Namun, setelah melalui proses penyelidikan gabungan antara kepolisian dan pihak Bea Cukai Bandara Soetta, diketahui barang haram tersebut dikirim untuk Jarred. ""Nama penerima IM, alamat di apartemen di Cisauk Kabupaten Tangerang. Selanjutnya dilakukan join investigation antara pihak kepolisian dan pihak Bea dan Cukai, selanjutnya dilakukan penangkapan terhadap pengambil paket EMS atas nama tersangka JDS,"" terang Ronald. 4. Jared Atur Desain Kemasan Permen Ganja Polisi mengungkap upaya Jarred Dwayne Shaw mengelabui petugas saat mengirimkan permen ganja dari Thailand ke RI. Jarred turut menginisiasi desain kemasan permen narkoba untuk mengelabui petugas. Namun upayanya tidak berhasil. ""Tersangka JDS melakukan pemilihan desain kemasan bungkus permen agar tidak terdeteksi dari pihak berwenang,"" kata Kombes Ronald FC Sipayung. Ronald mengatakan pengungkapan kasus ini bermula dari kecurigaan pihak Bea Cukai Bandara Soetta. Dia menyebut pihak Bea Cukai curiga adanya kiriman paket narkoba dari Thailand ke Indonesia. 5. Terancam Hukuman Mati Jarred Dwayne Shaw (JDS), pebasket asal Amerika Serikat, sudah ditetapkan sebagai tersangka terkait kasus narkoba. Polisi mengenakan Jarred dengan pasal berlapis dan terancam hukuman mati atau penjara seumur hidup. ""Terhadap pelaku dipersangkakan Pasal 114 ayat (2) subsider Pasal 113 ayat (2) lebih subsider Pasal 112 ayat (2) Undang-Undang Nomor 35 Tahun 2009 tentang Narkotika. Ancaman hukuman pelaku dipidana dengan pidana mati, pidana penjara seumur hidup, atau pidana penjara paling singkat 6 tahun dan paling lama 20 tahun,"" ujar Kombes Ronald FC Sipayung.  [Gambas:Video 20detik]  Saksikan Live DetikPagi :"
detik.com,https://news.detik.com/berita/d-7914725/sopir-taksi-dikeroyok-jukir-di-blok-m-hingga-babak-belur-3-pelaku-ditangkap,"Sopir Taksi Dikeroyok Jukir di Blok M hingga Babak Belur, 3 Pelaku Ditangkap",15 Mei 2025,"Seorang sopir taksi berinisial WS dikeroyok sejumlah orang yang diketahui sebagai juru parkir (jukir) di kawasan Blok M, Jakarta Selatan. Pengeroyokan terjadi dipicu kesalahpahaman. ""Korban merupakan supir taksi konvensional yang sedang berhenti di pinggir jalan sekitaran Blok M dan diduga para pelaku adalah jukir atau tukang parkir yang berada di lokasi tersebut,"" kata Kanit Resmob Satreskrim Polres Metro Jakarta Selatan AKP Bima Sakti kepada wartawan, Kamis (15/5/2025). Peristiwa tersebut terjadi pada Minggu (11/5) malam. Mulanya terjadi kesalahpahaman antara salah seorang pelaku dan korban. Keduanya terlibat saling cekcok hingga berujung perkelahian. SCROLL TO CONTINUE WITH CONTENT ""Tukang parkir menegur korban, lalu dibalas dengan perkataan yang tidak pantas dari korban. Akhirnya pelaku memancing dan korban turun dari kendaraannya, lalu terjadi keributan,"" ujarnya. Bima menambahkan, rekan pelaku ikut melakukan pemukulan terhadap korban. Akibatnya, korban mengalami sejumlah luka akibat pengeroyokan yang terjadi. ""Awalnya 1 vs 1, tetapi ketika pelaku terjatuh, pelaku lain langsung datang ke TKP dan langsung melakukan pengeroyokan,"" kata dia. ""Untuk kondisi korban sendiri, di sini mengalami luka di beberapa bagian tubuhnya seperti pelipis, di badan, lengan dan lain sebagainya dan untuk korban sendiri disini sudah kita lakukan visum,"" imbuhnya. Bima mengatakan tiga orang pelaku sudah ditangkap di kawasan Blok M. Saat ini polisi masih melakukan pengembangan. ""Tim dari Satreskrim Polres Metro Jakarta Selatan dapat mengamankan diduga tiga orang pelaku yang melakukan peristiwa pengeroyokan tersebut terhadap korban. Tepatnya juga pada saat ini masih berlangsung Operasi Berantas Jaya 2025 yang digelar di jajaran Polda Metro Jaya,"" jelasnya."
detik.com,https://news.detik.com/berita/d-7914716/geger-potongan-kaki-bayi-ditemukan-dalam-selokan-di-tasik-diduga-hasil-aborsi,"Geger Potongan Kaki Bayi Ditemukan dalam Selokan di Tasik, Diduga Hasil Aborsi",15 Mei 2025,"Warga Kampung Bantar, Bantarsari, Bungursari, Kota Tasikmalaya digegerkan dengan penemuan potongan kaki bayi dalam selokan. Kasus penemuan kaki bayi tersebut saat ini diselidiki polisi. ""Penyelidikan masih dilakukan, sejak penemuan kami langsung menurunkan tim ke lapangan untuk mencari tahu,"" kata Kasat Reskrim Polres Tasikmalaya Kota, AKP Herman Saputra, dilansir detikJabar, Kamis (15/5/2025). Pihak kepolisian menyusuri aliran sungai atau selokan tempat ditemukannya potongan kaki bayi tersebut. Penyisiran dilakukan dari hulu ke hilir. SCROLL TO CONTINUE WITH CONTENT ""Ya bisa saja pelaku membuang dari jembatan. Kemungkinan lainnya dibuang dari bagian hulu sungai. Karena sebelum ditemukan, debit air di selokan itu besar, karena hujan,"" ujarnya. Berdasarkan penyelidikan sementara, diduga korban merupakan hasil aborsi. Polisi masih memburu pelaku yang tega membuang potongan kaki tersebut. ""Kemungkinan besar hasil aborsi,"" kata Herman. Baca selengkapnya di sini."
detik.com,https://news.detik.com/berita/d-7914656/polda-riau-gagalkan-penyelundupan-18-kg-sabu-dibungkus-kemasan-teh-china,Polda Riau Gagalkan Penyelundupan 18 Kg Sabu Dibungkus Kemasan Teh China,14 Mei 2025,"Polda Riau menggagalkan upaya penyelundupan narkoba jenis sabu seberat 18 kilogram di wilayah Siak, Riau. Sabu itu dibungkus dalam 18 bungkus teh China berwarna kuning. Dirnarkoba Polda Riau Kombes Putu Yudha Prawira menyebutkan penangkapan berawal dari informasi adanya penyelundupan sabu dari Malaysia ke Indonesia. Sabu diselundupkan melalui pelabuhan tikus yang ada di Bukit Batu, Bengkalis, Riau. Narkotika tersebut saat itu dibawa menggunakan mobil Honda Brio menuju Pekanbaru. Tak menunggu lama, polisi langsung mengejar kendaraan itu. SCROLL TO CONTINUE WITH CONTENT ""Hari Senin, tanggal 12 Mei 2025, sekira jam 01.45 WIB, tim melakukan pengejaran terhadap kendaraan tersebut,"" kata Putu Yudha melalui keterangannya, Rabu (14/5/2025). Hasilnya, polisi berhasil menangkap dua terduga pelaku, yakni pria asal Medan, Sumatera Utara, bernama Iqbal (26) dan wanita asal Pekanbaru bernama Elfa Izah (24). Dari para pelaku, polisi mengamankan 18 bungkus teh bertuliskan aksara China berisi sabu, 2 buah tas berwarna hitam dan biru, 1 unit handphone iPhone 15 warna putih, 1 unit handphone warna silver, serta 1 unit mobil Honda Brio. ""Pada bangku belakang mobil Brio warna putih tersebut, setelah dicek di dalam dua buah tas ransel berisi 18 bungkus plastik merek 'GUANYIWANG' berwarna kuning diduga berisi narkotika jenis sabu,"" jelas Putu. Kemudian, kedua terduga pelaku dan barang bukti langsung dibawa ke Mapolda Riau guna pemeriksaan lebih lanjut. Termasuk untuk mendalami terkait jaringan pengirim sabu tersebut. ""Rencana tindak lanjut control delivery terhadap pemesan narkotika jenis sabu,"" pungkasnya. Dirtipidnarkoba Bareskrim Polri Brigjen Eko Hadi Santoso juga membenarkan adanya pengungkapan narkoba tersebut. Eko Hadi mengapresiasi jajaran Polda Riau atas mitigasi peredaran narkoba di semua wilayah.  Simak juga Video: Detik-detik 3 Penumpang Bus ALS Bawa Sabu Diamankan BNNP Sumbar [Gambas:Video 20detik] "
detik.com,https://news.detik.com/berita/d-7914645/debt-collector-jual-motor-sitaan-di-jaksel-10-kali-beraksi-incar-korban-wanita,"Debt Collector Jual Motor Sitaan di Jaksel 10 Kali Beraksi, Incar Korban Wanita",14 Mei 2025,"Polisi mengungkap ulah pria M alias A (39) dan F (35), komplotan debt collector yang menjual motor dari penunggak cicilan di Jakarta Selatan. Pelaku ternyata sudah 10 kali melakukan aksinya tersebut. ""Untuk keterangan yang kami dapatkan dari para tersangka untuk kegiatan tersebut sekitar 10 kali sudah dilakukan. Namun kami masih membutuhkan pendalaman kembali terkait berapa kali aksi serupa dilakukan oleh tersangka,"" kata Kanit Resmob Satreskrim Polres Metro Jakarta Selatan AKP Bima Sakti kepada wartawan, Rabu (14/5/2025). Bima mengatakan pria M bahkan sudah menjadi debt collector selama 16 tahun lamanya. Dia menjual motor hasil sitaannya dengan harga murah seharga Rp 3 juta. SCROLL TO CONTINUE WITH CONTENT ""Untuk tersangka M sendiri sudah menjadi debt collector atau matel sejak tahun 2009 sampai dengan sekarang. Dan juga untuk unit atau kendaraan yang berhasil ditarik disini kisaran harga Rp 3 sampai Rp 5 juta atau Rp 6 juta tergantung dari tahun pembuatan kendaraan yang berhasil ditarik tersebut. Dan dari hasil kegiatan itu digunakan untuk kehidupan sehari-hari,"" jelasnya. Bima menambahkan, pelaku kerap menyasar perempuan sebagai korban karena sulit menolak saat unitnya diambil. ""Untuk korban disini para pelaku mereka lebih menyasar kepada perempuan. Yang dimana psikologisnya berada di bawah psikologis dari pelaku. Sehingga tidak terlalu sulit untuk mengambil unitnya dari korban,"" ujarnya. Sebelumnya, Kasi Humas Polres Metro Jakarta Selatan Kompol Murodih mengatakan kedua pelaku menarik paksa motor dari korban yang diduga menunggak cicilan. Polisi pun menangkap kedua tersangka pada Jumat (9/5), pukul 23.00 WIB, di Warkop Deplu, Jaksel. Tersangka M berperan menjual satu unit motor Yamaha Aerox yang tak dilengkapi surat-surat yang didapat dari Boby yang masih buron dalam kasus ini. Sementara F berperan membantu M untuk menjual motor melalui Facebook. ""Pelaku juga selaku DC (debt collector) sering menarik unit motor yang menunggak pembayaran cicilan, yang kemudian oleh pelaku motor tarik tersebut dijual tanpa surat. Ya jadi mereka dia ada perintah untuk menarik tapi tidak disalurkan kepada prosesnya, mereka jual sendiri,"" jelasnya. Kedua tersangka sudah ditahan di rutan Polres Metro Jakarta Selatan. Mereka dikenai Pasal 481 subsider Pasal 480 KUHP tentang tindak pidana pertolongan jahat dengan ancaman 7 tahun penjara.  Simak juga Video: Polisi Ringkus Pelaku Spesialis Curanmor di Gorontalo, 9 Motor Disita [Gambas:Video 20detik] "
detik.com,https://news.detik.com/foto-news/d-6804812/potret-si-kembar-rihana-dan-rihani-ditangkap-usai-22-hari-memburon,Potret Si Kembar Rihana dan Rihani Ditangkap Usai 22 Hari Memburon,2023-07-04,Jakarta - Polisi menangkap si kembar Rihana-Rihani tersangka penipuan jual beli iPhone dengan kerugian Rp 35 miliar. Keduanya ditangkap di apartemen M Town Gading Serpong
detik.com,https://news.detik.com/foto-news/d-6804812/potret-si-kembar-rihana-dan-rihani-ditangkap-usai-22-hari-memburon,Potret Si Kembar Rihana dan Rihani Ditangkap Usai 22 Hari Memburon,2023-07-04,Jakarta - Polisi menangkap si kembar Rihana-Rihani tersangka penipuan jual beli iPhone dengan kerugian Rp 35 miliar. Keduanya ditangkap di apartemen M Town Gading Serpong
detik.com,https://news.detik.com/foto-news/d-5952012/deretan-wajah-tersangka-narkotika-yang-ditangkap-di-bandung,Deretan Wajah Tersangka Narkotika yang Ditangkap di Bandung,2022-02-21,Kabupaten Bandung - Satres Narkoba Polresta Bandung berhasil mengungkap pengedaran narkotika di Kabupaten Bandung. Sebanyak 14 orang menjadi tersangka dalam kurun waktu dua pekan.
detik.com,https://news.detik.com/foto-news/d-5917093/3-pria-ini-diringkus-polisi-usai-rampok-perkosa-wanita-paruh-baya,3 Pria Ini Diringkus Polisi Usai Rampok-Perkosa Wanita Paruh Baya,2022-01-27,"Sukabumi - Tiga orang pria berinisial T alias K, HU dan RA alias R asal Sukabumi ditangkap Polres Sukabumi Kota usai merampok dan perkosa wanita paruh baya."
