url,judul,subjudul,tanggal,isi_berita,kanal
https://www.detik.com/jatim/hukum-dan-kriminal/d-7710541/kasus-narkoba-dan-pelanggaran-lalin-di-kota-kediri-naik-selama-2024,Kasus Narkoba dan Pelanggaran Lalin di Kota Kediri Naik Selama 2024,,2024-12-30 21:45,"Ratusan kasus kriminal dan pelanggaran lalu lintas dibeberkan Polres Kota Kediri selama tahun 2024. Meski demikian, Kota Kediri tetap kondusif. Kapolres Kediri Kota AKBP Bramastyo Priaji mengatakan 2024 merupakan tahun spesial. Karena terdapat dua agenda besar yakni Pilpres dan Pilkada. Meski demikian, selama berlangsungnya dua agenda tersebut Kota Kediri tetap kondusif. Meski kasus-kasus kriminal juga masih terjadi. SCROLL TO CONTINUE WITH CONTENT ""Alhamdulillah pelaksanaan Pilkada Pilpres, dan Pileg di wilayah hukum Polres Kediri Kota berjalan baik dan kondusif,"" Kata Bramastyo saat rilis akhir tahun 2024 di Gedung Rupatama Polres Kediri Kota, Senin (30/12/2024). Bramastyo lalu membeberkan selama tahun 2024, pihaknya mengungkap 244 kasus kriminalitas. Dibandingkan dengan tahun 2023, ia menyebut ada penurunan. ""Jumlah kasus tahun 2024 mengalami penurunan dari pada tahun 2023 yakni sebanyak 28 kasus atau 10 persen,"" jelas Bramastyo. Untuk kasus narkoba, Bramastyo menyebut ada tren peningkatan dari 86 kasus menjadi 90 kasus. Dari total 90 kasus dengan rincian narkotika, obat keras berbahaya (okerbaya), hingga minuman keras (miras). ""Jumlah tersangka ada 108 orang tahun 2023, sementara tahun ini ada 141 tersangka,"" tuturnya. Sama dengan kasus narkoba, pelanggaran lalu lintas juga mengalami peningkatan yang signifikan terkait pelanggaran lalu lintas yakni 98 persen. Namun demikian, peningkatan tersebut bukan menunjukkan masyarakat Kabupaten dan Kota Kediri tidak disiplin, tetapi anggota lebih rajin dan aktif untuk melakukan penindakan pelanggaran disiplin di jalan. Apalagi, ada pengembangan sistem tahun 2023 lalu lebih mengedepankan kualitas penindakan elektronik atau ETLE dan statis. ""Karena anev ditutup kurang maksimal dalam mendisiplinkan pengendara, maka tahun 2024 penindakan secara mobile dan tindakan tilang. Itu juga termasuk memberikan peneguran kepada pengendara,"" jelas Bramastyo. Sementara itu, Kasat Resnarkoba Polres Kediri Kota Iptu Bowo Tri Kuncoro menambahkan, dari pengungkapan 90 kasus selama tahun 2024 dengan rincian sebanyak 57 narkotika, 32 okerbaya, dan 1 minuman keras. Sedangkan jumlah tersangka sebanyak 141 orang terdiri dari 133 laki-laki dan 9 perempuan. ""Pengungkapan narkoba tahun 2024 sebanyak 90 kasus dan 2023 lalu sebanyak 86 kasus. Jadi mengalami kenaikan sebanyak 4 atau 4,6 persen,"" tuturnya. Adapun barang bukti yang disita Satresnarkoba Polres Kediri Kota selama tahun 2024 terdiri dari sabu-sabu seberat 566, 64 Gram, Ganja 1.530, 97 Gram, 6.750 butir pil dmp, 312.391 butir pil dobel L, tiga bungkus nasi dicampur serbuk pil dobel L, 41 tablet 1 mg pil warna hijau merk Alganax serta 10 tablet pil salut 1 mg merk Zypraz. Selanjutnya, 785 tablet pil salut selaput merk Amitriptyline Hydrochoride, 70 tablet pil salu selaput merk Amitriptyline HCL, handphone, hingga ratusan botol berisi minuman keras berbagai merk. ""Total barang bukti sabu-sabu tahun 2024 sebanyak 566,64 gram dan meningkat sebanyak 327, 51gram,"" pungkas Bowo Kuncoro.",
https://www.detik.com/sulsel/parepare/d-7710110/operasi-lilin-2024-di-parepare-146-liter-tuak-disita,"Operasi Lilin 2024 di Parepare, 146 Liter Tuak Disita",,2024-12-30 21:30,"Polsek Soreang menyita 146 minuman keras (miras) jenis tuak di Kota Parepare, Sulawesi Selatan (Sulsel) dalam Operasi Lilin 2024. Polisi memperketat peredaran miras yang selama ini sebagai pemicu kriminalitas. ""Kami dari Polsek Soreang dengan izin dan petunjuk pimpinan melakukan kegiatan cipta kondisi Operasi Lilin 2024 dengan menargetkan sasaran penjualan minuman keras,"" kata Kapolsek Soreang Iptu Kisman dalam keterangannya ke wartawan, Senin (30/12/2024). Operasi Lilin tersebut dilaksanakan di Kecamatan Soreang pada Sabtu (28/12) lalu. Operasi dipimpin oleh Kapolsek Soreang Iptu Kisman didampingi oleh Kanit Intelkam Ipda Muh. Zain dengan dukungan delapan personel gabungan dari Unit Reskrim, Intelkam, dan Bhabinkamtibmas. SCROLL TO CONTINUE WITH CONTENT ""Dari seluruh lokasi yang disasar, Tim Cipta Kondisi kita ini berhasil menyita total 146 liter tuak, yang kemudian diamankan di Mapolsek Soreang untuk proses lebih lanjut,"" imbuhnya. Kisman mengatakan Cipta Kondisi ini dilakukan untuk menekan peredaran minuman keras tradisional yang berpotensi memicu tindakan kriminal dan gangguan kamtibmas, dan merupakan bagian dari gelar Cipta Kondisi yang dilakukan oleh Polres Parepare. ""Kegiatan ini merupakan bagian dari gelar Cipta Kondisi yang dilaksanakan oleh Polres Parepare menjelang pergantian tahun, dan juga merupakan bagian dari dukungan pada operasi lilin 2024 yang berlangsung saat ini,"" ujar Kisman. Pihaknya menekankan minuman keras tradisional berpotensi memicu tindakan kriminal dan gangguan kamtibmas. Ini menjadi alasan untuk menyasar titik-titik penjualan miras jenis tuak. ""Miras seperti tuak ini kan bisa memicu warga untuk melakukan tindakan kriminal dan gangguan Keamanan dan Ketertiban Masyarakat (Kamtibmas),"" paparnya. Kisman juga mengimbau masyarakat untuk tidak mengonsumsi atau memperdagangkan minuman keras tradisional karena dampaknya yang merugikan, baik bagi individu maupun lingkungan sekitar. ""Kita minta kerjasama masyarakat dengan pihak kepolisian untuk menciptakan situasi yang kondusif di wilayah Parepare,"" imbuhnya.",
https://www.detik.com/jatim/hukum-dan-kriminal/d-7710540/kasus-kriminal-dan-kecelakaan-di-trenggalek-turun-tapi-narkoba-naik,"Kasus Kriminal dan Kecelakaan di Trenggalek Turun, Tapi Narkoba Naik",,2024-12-30 21:15,"Jumlah kasus kriminalitas dan kecelakaan lalu lintas di Trenggalek selama setahun terakhir mengalami penurunan. Sedangkan pengungkapan kasus narkoba meningkat signifikan. Wakapolrss Trenggalek Kompol Herlinarto, mengatakan selama 2024 angka kejadian kriminal mencapai 106 kasus, sedangkan di tahun 2023 sebanyak 127 kasus. ""Dari 106 kasus yang berhasil diungkap 99 kasus dan 7 di antaranya belum selesai. Sehingga jika diprosentase capaian pengungkapan 93,4 persen,"" kata Kompol Herlinarto, Senin (30/12/2024). SCROLL TO CONTINUE WITH CONTENT Pihaknya mengapresiasi kinerja dari Satreskrim karena jumlah tunggakan kasus yang belum terselesaikan turun, dari sembilan kasus menjadi tujuh kasus. ""Semoga tunggakan kasus itu bisa segera dituntaskan,"" ujarnya. Dari ratusan kasus itu terdapat tiga jenis kriminal yang terbanyak, yakni perjudian 27 kasus, pencabulan 14 kasus dan penipuan 12 kasus. Tak hanya itu, kasus kekerasan terhadap anak dan persetubuhan terhadap anak juga membayangi-bayangi dengan angka 5-6 kasus. Sementara itu angka kecelakaan lalu lintas di Trenggalek selama 2024 mengalami penurunan 5,29 persen, dari sebelumnya 624 kejadian menjadi 591 kejadian. ""Namun, untuk angka kematian akibat lakalantas naik, dari sebelumnya 48 jiwa menjadi 59 jiwa. Kenaikannya 22,92 persen. Ini tentu yang menjadi keprihatinan, semoga tahun depan bisa ditekan lagi,"" imbuhnya. Untuk korban luka akibat lakalantas mengalami penurunan 8,7 persen, dari sebelumnya 862 orang menjadi 787 orang. Dari rekapitulasi korban kecelakaan lalu lintas, pelajar atau mahasiswa menjadi korban terbanyak dengan jumlah mencapai 255 orang. ""Disiplin di jalan raya adalah tanggung jawab bersama, agar angka kecelakaan bisa terus ditekan,"" imbuhnya. Pengungkapan Kasus Narkoba Meningkat Wakapolres Kompol Herlinarto mengatakan selama tahun 2024 Satresnarkoba Polres Trenggalek berhasil mengungkap 56 kasus dengan jumlah tersangka 62 orang. ""Kalau dari rekapitulasi naik pengungkapannya, karena tahun 2023 mengungkap 49 kasus dengan tersangka 55 orang,"" ujarnya. Penyalahgunaan narkoba kini menjadi perhatian serius dari aparat kepolisian, karena modus peredarannya semakin beragam dan menyasar berbagai kalangan.",
https://www.detik.com/sumbagsel/hukum-dan-kriminal/d-7709801/kriminalitas-di-palembang-tahun-2024-tinggi-curanmor-terbanyak,"Kriminalitas di Palembang Tahun 2024 Tinggi, Curanmor Terbanyak",,2024-12-30 19:40,"Tingkat kriminalitas di Palembang, Sumatera Selatan, pada tahun 2024 naik menjadi 29,51% dari tahun sebelumnya. Kasus tertinggi yakni pencurian kendaraan bermotor (curanmor). ""Jumlah tindak pidana yang masuk ke Polrestabes Palembang beserta jajaran sepanjang 2024 adalah sebanyak 6.034 kasus. Angka tersebut naik dari tahun 2023 yang berjumlah 4.659 kasus,"" kata Kapolrestabes Palembang Kombes Harryo Sugihhartono saat rilis di Mapolrestabes Palembang pada Senin (30/12/2024) siang. Dia menjelaskan, dari angka tersebut sebanyak 2.883 kasus berhasil pihaknya selesaikan sepanjang tahun 2024. Kata dia, jumlah tindak pidana tahun ini didominasi oleh kasus pencurian kendaraan bermotor atau curanmor dengan total 743 kasus. SCROLL TO CONTINUE WITH CONTENT ""Tahun ini, kasus terbanyak yang kami tangani adalah curanmor dengan 743 kasus, naik 64% dari tahun sebelumnya. Sebanyak 173 kasus berhasil kami selesaikan,"" jelasnya. Harryo melanjutkan, kasus mendominasi selanjutnya adalah pencurian dengan pemberatan (curat). Dia merinci, sebanyak 719 kasus pihaknya tangani atas tindak pidana Pasal 363 KUHPidana tersebut. ""Untuk tindak pidana kasus curat, jumlahnya sebanyak 719 kasus. Turun 51 kasus dari tahun sebelumnya,"" katanya. Kasus ketiga terbanyak, kata Harryo, adalah penganiayaan berat. Pihaknya berhasil menyelesaikan 288 dari total 337 kasus sepanjang tahun 2024. ""Selanjutnya adalah pengeroyokan dengan 229 kasus. Sebanyak 183 kasus di antaranya telah berhasil diselesaikan,"" katanya. Harryo menambahkan, tindak pidana Pasal 365 KUHPidana atau pencurian dengan kekerasan (curas) yang diterima Satreskrim Polrestabes Palembang sepanjang tahun ini sebanyak 214 kasus. Menurutnya, curas adalah pencurian yang disertai dengan perilaku menyakiti atau melukai korban. ""Kasus curas yang kami tangani sebanyak 214 kasus. Sejumlah 146 kasus di antaranya telah diselesaikan,"" ujarnya. Harryo melanjutkan, pihaknya masih menyisakan PR untuk kasus-kasus yang belum terselesaikan. Ada 1.210 kasus yang hingga kini masih dalam tahap lidik, dan 1.941 kasus dalam tahap sidik. ""Hingga kini, ada kasus yang masih dalam tahap penyidikan maupun penyelidikan. Kami akan terus berusaha untuk menyelesaikan kasus tersebut,"" ujarnya.",
https://www.detik.com/jabar/cirebon-raya/d-7709905/1-415-kasus-kejahatan-terjadi-di-indramayu-sepanjang-2024,1.415 Kasus Kejahatan Terjadi di Indramayu Sepanjang 2024,,2024-12-30 19:00,"Berbagai peristiwa kejahatan terjadi di wilayah Kabupaten Indramayu. Polres Indramayu mencatat tindak pidana selama tahun 2024 mencapai hingga 1.415 kasus. Angka tersebut kata Kapolres Indramayu AKBP Ari Setyawan Wibowo menurun jika dibandingkan dengan peristiwa di tahun 2023 lalu yang mencapai hingga 1.550 kasus. Selisihnya yaitu mencapai hingga 135 kasus. Namun dalam penyelesaiannya, kasus yang terjadi di tahun 2023 telah selesai sebanyak 901 kasus. Sementara di tahun 2024 baru hanya 720 kasus yang terselesaikan. SCROLL TO CONTINUE WITH CONTENT ""Terkait data kriminalitas yang terjadi jika dibandingkan dengan tahun 2023, bahwa saat ini kita mengalami penurunan,"" ujar Ari di Mapolres Indramayu, Senin (30/12/2024). Kasus pencurian yang terjadi di Kabupaten Indramayu sangat mendominasi. Dari pencurian pemberatan, pencurian kekerasan hingga pencurian sepeda motor. Selain itu, sejumlah tindak pidana lainnya juga cukup banyak terjadi di Kota Manga ini. Di antaranya kasus pengeroyokan sebanyak 212 kasus dan 122 kasus diselesaikan. Kemudian polisi menyelesaikan kasus kejahatan perlindungan anak sebanyak 31 kasus dan perselingkuhan terhadap anak sebanyak 31 kasus. ""Kasus curat, curanmor, penipuan, penganiayaan memang masih mendominasi,"" katanya. Menurutnya, penurunan angka kasus tindak pidana selama tahun 2024 ini tak lain merupakan satu bentuk kerja sama dengan masyarakat. Sehingga, tingkat kondusifitas di wilayah Kabupaten Indramayu masih cukup terjaga. ""Kondusifitas masih terjaga,"" pungkasnya. Kasus penyalahgunaan narkoba cukup marak terjadi di wilayah Kabupaten Indramayu. Terutama peredaran obat keras terbatas yang kini masih menyasar kalangan pemuda dan pelajar. Satuan Reserse Narkoba Polres Indramayu telah menangani sebanyak 121 kasus selama tahun 2024. Dengan jumlah tersangka yang diamankan sekitar 153 orang. ""Pada tahun 2024 ini kita dapat meningkatkan pengungkapan terkait narkoba,"" kata Kapolres Indramayu AKBP Ari Setyawan Wibowo, Senin (30/12/2024). Selain jumlah kasus, Kapolres Indramayu secara detail menjelaskan jumlah barang bukti yang diamankan selama 2024 cukup meningkat. Di antaranya sabu-sabu sebanyak 460,48 gram dan 2003 gram ganja. Termasuk mengamankan 425.731 butir obat keras terbatas berbagai merk. Menurutnya, peredaran narkoba di wilayah Kabupaten Indramayu menyasar ke semua kalangan. Terutama obat keras terbatas yang kini menyasar hingga kalangan pemuda dan pelajar. ""Memang peredarannya itu menyasar berbagai kalangan. Kalau obat keras terbatas itu kalangan remaja. Kalau ganja sabu-sabu itu menyasar orang dewasa. Itu terjadi merata di wilayah Kabupaten Indramayu,"" jelasnya. Sementara, Kasatnarkoba Polres Indramayu, AKP Tatang Sunarya menjelaskan 153 orang tersangka yang diamankan sepanjang tahun 2024 ini mayoritas berstatus sebagai kurir. Hal itu lantaran peredaran narkoba di Indramayu dikendalikan dari luar kota. ""Misalnya kasus sabu yang barang buktinya yang 123 gram dan 140 gram itu tersangkanya sebagai kurir,"" ungkap Tatang. ""Jadi bandarnya itu ada di Jakarta. Nah kita terus cari bandarnya,"" pungkasnya.",
https://www.detik.com/jabar/berita/d-7709655/komplotan-bully-anak-anak-bunuh-teman-sekelas-dan-curi-uangnya,Komplotan Bully Anak-anak Bunuh Teman Sekelas dan Curi Uangnya,,2024-12-30 18:00,"Tindakan kriminal dilakukan oleh sekelompok anak-anak berusia 13 tahun di China. Mereka berkomplot untuk membunuh teman sebayanya, kemudian membagi-bagi duit korban melalui transfer rekening. Mengutip dari BBC, Senin (30/12/2024), peristiwa ini terungkap saat hakim membacakan vonis bagi dua anak yang menjadi pelaku pembunuhan. Peristiwa terjadi di provinsi Hebei. Baik pelaku maupun korban merupakan teman sekelas di sekolahan mereka. Peristiwa pembunuhan terjadi pada Maret 2024. SCROLL TO CONTINUE WITH CONTENT ""Cara pembunuhannya kejam dan situasinya sangat buruk keji,"" kata pernyataan pengadilan. Dua pelaku bernama belakang Zhang dan Li. Mereka berkonspirasi untuk membunuh teman mereka bernama Wang. Anak bernama Wang ini merupakan anak yang sering dirundung (di-bully) oleh teman-temannya. Pada 3 Maret, Zhang membawa Wang naik motor ke rumah kaca (greenhouse untuk budidaya tanaman). Ada pula Li dan Ma. Li menceritakan ke Ma soal recana bersama Zhang untuk membunuh Wang. Keempat orang anak tersebut, termasuk korban, akhirnya tiba di rumah kaca. Serangan pertama dilakukan oleh Zhang dengan sekop, sedangkan Li membantu Zhang. Ma yang melihat pembunuhan itu pergi meninggalkan rumah kaca. Zhang dan Li kemudian mengubur jasad Wang. Mereka pergi dari lokasi. Setelahnya, Zhang menggunakan ponsel milik mendiang Wang untuk mentransfer uang dari akun WeChat ke akun dirinya dan Li. Zhang juga mengambil kartu SIM dari ponsel Wang dan meminta Ma untuk menghancurkan ponsel itu. Zhang, Li, dan Ma kemudian ditangkap polisi. Ma akhirnya menuntut polisi ke lokasi pembunuhan. Pengadilan menyatakan Zhang adalah pelaku utama yang merencanakan kejahatan. Dia dihukum seumur hidup. Sedangkan Li dihukum 12 tahun penjara. Li dinilai berkolusi dan berpartisipasi aktif dalam tindakan kejahatan, juga berbagi uang korban dengan Zhang. Adapun Ma tidak dipenjara. Dia diwajibkan menjalani koreksi dan pendidikan-metode yang biasa diterapkan untuk anak-anak yang melakukan tindakan kriminal. Media sosial di China menjadi riuh. Mereka merasa hukuman untuk pelaku terlalu ringan. Hukuman 12 tahun akan berakhir saat si anak itu beranjak dewasa, warganet setempat khawatir dia kan balas dendam ke masyarakat. Artikel ini telah tayang di detikNews",
https://news.detik.com/berita/d-7709894/1-500-personel-gabungan-amankan-malam-tahun-baru-2025-di-jakarta,1.500 Personel Gabungan Amankan Malam Tahun Baru 2025 di Jakarta,,2024-12-30 16:35,"Polda Metro Jaya bersama instansi terkait menerjunkan 1.500 personel gabungan untuk mengamankan momen malam tahun baru 2025 besok malam. Personel akan disebar di sejumlah titik. ""Total pengamanan sebanyak 1.500 personel,"" kata Kabid Humas Polda Metro Jaya Kombes Ade Ary Syam Indradi kepada wartawan, Senin (30/12/2024). Ade Ary mengatakan skema pengamanan dan antisipasi gangguan untuk memastikan kegiatan berjalan lancar. Dia meminta masyarakat sama-sama menjaga keamanan dan ketertiban. SCROLL TO CONTINUE WITH CONTENT ""Deteksi dini dan pemetaan potensi gangguan keamanan, seperti ancaman teror atau tindak kriminalitas. Penempatan CCTV di titik strategis untuk mendukung pengawasan real-time,"" ujarnya. Personel tersebut juga akan bersiaga di 12 panggung hiburan yang tersebar di Jalan Sudirman-Harmoni saat pelaksanaan car free night (CFN) besok. Panggung hiburan tersebut tersebar di gedung Panin Bank, kawasan SCBD, FX Sudirman, depan Hotel Orient, depan PT Merpati Wahana Raya, Wisma Nugra Santana, depan kantor Kedubes Jepang, depan Sari Pacific, kawasan Patung Kuda, depan UOB, Dukuh Atas atau JXB River, dan di kawasan Lapangan Banteng. Penutupan jalur Sudirman-Harmoni selama pelaksanaan car free night akan dimulai pukul 18.00 WIB, Selasa (31/12), hingga seluruh rangkaian acara selesai. Setelah itu, pihak kepolisian akan membuka kembali jalur tersebut pada Rabu (1/1/2025), pukul 01.00 WIB. Polda Metro Jaya mengimbau masyarakat tidak melakukan konvoi merayakan malam tahun baru 2025. Polisi akan melakukan penyekatan mencegah masyarakat konvoi ke arah Jakarta. ""Diharapkan untuk kendaraan-kendaraan yang akan masuk, seperti konvoi, akan kita lakukan penyekatan,"" kata Dirlantas Polda Metro Jaya Kombes Latif Usman kepada wartawan, Jumat (27/12). Latif mengatakan penyekatan akan dilakukan di beberapa titik, seperti Lenteng Agung, Kalimalang, Daan Mogot, hingga Cakung. Nantinya masyarakat dari luar Jakarta yang melakukan konvoi akan langsung diputar balik. ""Iya (diputar balik), di titik-titik penyekatannya sudah kita siapkan,"" ujarnya.",
https://www.detik.com/jatim/hukum-dan-kriminal/d-7709366/akhir-tahun-polrestabes-surabaya-musnahkan-15-kg-sabu-527-knalpot-brong,"Akhir Tahun, Polrestabes Surabaya Musnahkan 15 Kg Sabu-527 Knalpot Brong",,2024-12-30 12:55,"Menjelang akhir tahun, Polrestabes Surabaya memusnahkan barang bukti hasil pengungkapan kasus selama tahun 2024. Barang bukti yang dimusnahkan berasal dari jajaran Satresnarkoba, Satreskrim, dan Satlantas Polrestabes Surabaya. Dari Satresnarkoba, sebanyak 15 kilogram narkotika jenis sabu dan 1,9 kilogram ganja dimusnahkan. Barang bukti tersebut berasal dari pengungkapan tiga kasus berbeda dengan empat orang tersangka yang telah diamankan. Kegiatan pemusnahan dilanjutkan dengan pemotongan knalpot brong hasil razia Satlantas Polrestabes Surabaya. Dalam razia tersebut, sebanyak 527 knalpot brong berhasil disita dan dimusnahkan. SCROLL TO CONTINUE WITH CONTENT Kapolrestabes Surabaya Kombes Lutfhie Sulistiawan, mengapresiasi kinerja jajarannya yang telah bekerja maksimal menekan angka kejahatan dan menciptakan rasa aman di Kota Surabaya. ""Kita bersyukur angka kriminalitas menurun 5 persen dibanding tahun sebelumnya. Yakni 4.297 kasus di tahun 2023 menjadi 4.019 kasus di tahun 2024,"" kata Lutfhie saat rilis di Mapolrestabes Surabaya, Senin (30/12/2024). Mantan Dirreskrimsus Polda Jatim itu juga menyebut bahwa tingkat penyelesaian kasus meningkat signifikan, yakni 38 persen. Pada tahun 2023, sebanyak 3.561 kasus berhasil diselesaikan. Sementara itu, di tahun 2024, tercatat 5.800 kasus terselesaikan selama setahun. ""Ini adalah bukti langkah-langkah efektif yang bisa diambil,"" ungkap Lutfhie. Selain itu, Polrestabes Surabaya juga menangani kasus minuman keras (miras). Sebanyak 3.455 botol miras disita dan dimusnahkan, dengan 45 tersangka yang diproses hukum terkait kasus tersebut.",
https://www.detik.com/sumut/hukum-dan-kriminal/d-7708942/aksi-6-warga-di-aceh-hajar-pria-diduga-mesum-hingga-tewas-berujung-tersangka,Aksi 6 Warga di Aceh Hajar Pria Diduga Mesum hingga Tewas Berujung Tersangka,,2024-12-30 08:00,"Enam warga di Banda Aceh, Aceh menghajar pria inisial RD (50) usai ditangkap di dalam sebuah rumah bersama perempuan non muhrim. Akibat aksinya itu, keenam warga tersebut pun ditetapkan sebagai tersangka.  Keenam tersangka itu adalah SZ (62), HW (47), RP (26), MR (31), FSP (19) dan AS (19). Mereka seluruhnya berdomisili di Banda Aceh. SCROLL TO CONTINUE WITH CONTENT ""Berdasarkan dari 12 orang saksi yang dimintai keterangan oleh penyidik unit Jatanras Sat Reskrim Polresta Banda Aceh, tertuju pada enam tersangka,"" kata Kasatreskrim Polresta Banda Aceh Kompol Fadillah Aditiya Pratama dalam keterangannya, Minggu (29/12/2024). Peristiwa penganiayaan itu berawal saat RD digerebek warga di dalam sebuah rumah di Desa Tibang, Kecamatan Syiah Kuala, Banda Aceh pada pertengahan November lalu. Masyarakat menghajar RD hingga harus dilarikan ke rumah sakit. Kemudian, RD meninggal dunia dalam perawatan di Rumah Sakit Pertamedika Banda Aceh pada (16/11) pagi. Pihak keluarga lalu tak terima dengan kasus penganiayaan tersebut sehingga membuat laporan ke polisi. Untuk menyelidiki kasus itu, penyidik Polresta Banda Aceh lalu melakukan ekshumasi pada Selasa (19/11). Jasad RD yang telah dikebumikan di kampungnya di Aceh Besar dibawa lagi ke rumah sakit untuk diautopsi. Usai mengantongi hasil autopsi, polisi kembali memintai keterangan sejumlah saksi untuk mengungkap kasus tersebut. Menurut Fadillah, keenam tersangka akan segera diserahkan ke jaksa setelah berkas perkara dinyatakan lengkap. ""Penetapan tersangka setelah dilakukan pendalaman pemeriksaan sesuai dengan laporan keluarga korban terhadap kejadian yang menyebabkan meninggalnya RD. Hal ini juga dikuatkan keterangan dari pemeriksaan para saksi dan keterangan dari para tersangka,"" jelas Fadillah.",
https://www.detik.com/sumut/hukum-dan-kriminal/d-7708512/pria-curi-laptop-untuk-jadikan-foto-pemilik-fantasi-seks,Pria Curi Laptop untuk Jadikan Foto Pemilik Fantasi Seks,,2024-12-29 20:00,"Seorang pria berinisial MH (20) di Kota Palu, Sulawesi Tengah (Sulteng), terobsesi dengan seorang mahasiswi inisial FS (17). Ia sampai nekat mencuri laptop milik FS untuk dijadikan fantasi seks. Pelaku mencuri laptop korban di rumah korban yang berada di perumahan dosen Kelurahan Tondo, Kecamatan Mantikulore, Palu pada Rabu (25/12) malam. ""Awalnya pelaku mengintip, karena pintu depan rumah tidak terkunci, pelaku langsung masuk ke dalam rumah,"" ujar Kapolsek Mantikulore Iptu Siti Elminawati dilansir detikSulsel, Minggu (29/12/2024). SCROLL TO CONTINUE WITH CONTENT Ia pun lalu mengambil laptop korban di ruang tengah. Pelaku yang mendekar suara dari kamar langsung bergegas keluar sambil membawa laptop tersebut. ""Pelaku mendengar suara bergerak dan langsung mengambil laptop tersebut,"" bebernya. Korban kemudian menyadari laptopnya hilang saat bangun tidur sekitar pukul 03.30 Wita. Ia pun melaporkan kasus pencurian itu ke Polsek Mantikulore. Siti menjelaskan, pelaku sengaja mencuri laptop mahasiswi tersebut untuk melihat foto-foto korban. Kemudian foto-foto itu dia jadikan bahan fantasi seks. ""Alasannya (pelaku mencuri) ingin melihat foto korban dalam laptop tersebut untuk digunakan fantasi seks,"" bebernya. Tak cuma itu, pelaku juga sempat menghubungi korban lewat WhatsApp (WA) korban yang masih terhubung di laptop. Dia mengirim pesan akan mengembalikan laptop tersebut jika korban mau berhubungan badan dengannya. ""Iya (pelaku kirim pesan mau kasih kembali laptop jika korban mau disetubuhi),"" kata Siti. Korban lalu menjebak pelaku dengan pura-pura menerima ajakan tersebut dan menyepakati lokasi pertemuan. Namun di lokasi itu pelaku langsung ditangkap teman korban dan warga sekitar. ""Pelaku saat ini telah dilakukan pemeriksaan dan dilakukan gelar perkara, selanjutnya ditetapkan sebagai tersangka dan telah ditahan di Rutan Polsek Mantikulore,"" imbuh Siti.",
