url,judul,subjudul,tanggal,isi_berita,kanal
https://news.detik.com/berita/d-7889058/sosok-kombes-retno-prihawati-di-balik-penyelamatan-600-wni-korban-tppo,Sosok Kombes Retno Prihawati di Balik Penyelamatan 600 WNI Korban TPPO,,2025-04-28 10:26,"Atase Polri di Manila, Kombes Retno Prihawati, merupakan sosok di balik penyelamatan 600 warga negara Indonesia (WNI) korban tindak pidana perdagangan orang (TPPO) di Filipina. Retno mengoordinasikan dengan cepat laporan terkait perdagangan WNI, baik kepada otoritas Filipina maupun Bareskrim dan Divisi Hubungan Internasional Polri. Sosok Retno diusulkan salah satu korban tindak pidana perdagangan orang (TPPO), berinisial inisial R, sebagai kandidat Hoegeng Awards 2025 melalui tautan detik.com/hoegeng-awards. Berikut kesaksian R: ""Sosok Ibu Retno yang dikenal sebagai wanita hebat, yang di mana pagi, siang, malam bertugas untuk keamanan warga Indonesia di Manila, yang terjadinya kasus penggerebekan. Kepeduliannya membuat saya semakin yakin proses ini akan segera tuntas,dan itu benar, dengan kerja kerasnya,"" tulis R dalam formulir online, Selasa (12/3/2025). SCROLL TO CONTINUE WITH CONTENT Saat dihubungi detikcom, R mengatakan dia direkrut untuk bekerja di Hong Tai, Filipina sebagai tenaga pemasaran property pada Maret 2023. Namun sampai di sana, mereka dilatih untuk menjadi scammer. R bertemu Kombes Retno saat otoritas Filipina menggerebek kamp sindikat scammer yang merekrutnya. Sejak penggerebekan itu, R mengatakan Kombes Retno sangat peduli dengan para WNI yang menjadi korban. R merasa Retno sangat tulus melakukan penyelamatan para WNI. ""Suka diskusi dan sangat baik sekali, perhatiannya luar biasa. Dan sangat tulus melakukannya sebagai tugasnya. Ibu Retno to the point sekali, tidak suka bertele-tele dan sangat tegas orangnya,"" cerita R. R menceritakan akhirnya pulang ke Indonesia pada September 2023. Selama menunggu proses pemulangan, Kombes Retno selalu mengecek kondisi R dan WNI lainnya untuk memastikan kebutuhan hari-hari terpenuhi. ""Kepribadian yang wajib di contoh oleh polisi lainnya menurut saya. Tugas adalah tugas yang seharusnya benar dilakukan. Omongannya sangat bisa dipegang, janjinya selalu dia tepati. Apapun yang kita butuhkan, dia selalu sigap membantu dan itu cepat sekali beres,"" tutur R. Dihubungi terpisah, Kombes Retno mengatakan sudah 600 WNI diselamatkan dan dipulangkan ke Tanah Air, sejak sejak Maret 2023 atau kali pertama dia bertugas di KBRI Manila. Mayoritas korban TPPO yang telah diselamatkan bekerja di bawah kendali mafia judi online (judol). ""Saya di sini sejak Maret 2023 Atase Manila. Di Filipina data yang saya punya, mungkin lebih dari 600 WNI yang sudah dikembalikan ke Indonesia. Paling banyak kita kembalikan mereka yang paling banyak direkrut untuk sindikat judi online,"" kata Retno kepada detikcom, Selasa (4/3/2025). Retno mengatakan kasus-kasus yang terungkap awalnya berasal dari informasi korban yang melapor ke hotline KBRI Manila, maupun jaringan otoritas setempat. Retno yang mendengar informasi tersebut langsung berkoordinasi dengan Bareskrim dan Divisi Hubungan Internasional Polri. ""Kami mendapatkan laporan dari WNI di dalam (kamp korban TPPO). ada yang menghubungi ke KBRI, kan ada hotline. Saya juga dapat info dari teman di sini kalau ada WNI di kamp (sindikat judol),"" ujar Retno. ""Kami bekerja juga dengan pusat (Mabes Polri), Divhubinter, Bareskrim terkait kejahatan lainnya,"" sambung dia. Mantan Kapolres Metro Lampung ini menuturkan mafia perdagangan orang menjangkau para korban melalui media sosial. Mereka lalu menawarkan pekerjaan mudah dengan gaji 'dua digit'. ""Diimingi kerja melalui media online FB, IG dan lain-lain. Mereka dibilang misalkan bekerja sebagai resepsionis, marketing, customer service, ada yang ditawarkan sebagai penerjemah bahasa dengan gaji di atas rata-rata di Indonesia, dijanjikan 18 sampai 21 juta,"" cerita Retno. Para korban mayoritas hanya mengenyam pendidikan hingga tingkat Sekolah Menengah Pertama (SMP). Sindikat perdagangan orang untuk kejahatan scammer dan judi online ini awalnya seakan baik karena mengurus seluruh keperluan korban berangkat dari Indonesia ke Filipina. ""Tapi sampai di sini HP diambil, di-restart, dia dilatih untuk scam. Ada yang menjadi pekerja ilegal, ada penyiksaan, pencucian uang dan lain-lain , sehingga warga negara kita menjadi korban,"" jelas Retno. Retno menyebut sindikat judi online biasa juga memiliki jaringan untuk melakukan kejahatan lainnya. ""Ada kriminalitas yang mengikuti di balik judi online, yaitu penipuan, rekrutmen ilegal, trafficking in person di antaranya,"" kata Retno. Setidaknya ada dua lokasi penggerebekan yang meninggalkan kesan untuk Retno. Pertama adalah di Sun Valley Hub Pampanga dan Las Pinas. Retno menyebut selama mendalami informasi WNI korban perdagangan orang, dirinya selalu berkomunikasi intens dengan Philippine National Police (PNP) hingga tingkat provinsi dan distrik, Biro Imigrasi Filipina, hingga Philippine Drug Enforcement Agency (PDEA). ""Kasus pertama yang saya ungkap adalah penggerebekan terhadap fasilitas scam online, namanya Sun Valley Hub. Itu kasus ramai karena jadi milestone aparat Filipina membongkar besar-besaran judi online. (Sebanyak) 1.700 orang di camp itu, dan beberapa di antaranya dan 246 WNI,"" ucap Retno. ""Ada 1 WNI dalam keadaan sakit, sudah 3 minggu tidak diobati, sakitnya itu paru-paru. Makanya kami juga bawa ambulans juga. Saya saat itu tidak bisa bergerak sendiri, saya lapor ke Mabes Polri, kami minta backup Bareskrim, dan Bareskrim menurunkan tim dengan Divhubinter, kami melakukan wawancara dan profiling terhadap WNI di camp. Mereka semua korban TPPO,"" tambah Retno. Kemudian di Las Pinas, sambung Retno, otoritas Filipina melakukan penggerebekan terhadap camp berisi 2.700 pekerja scam dan judi online, di mana terdapat 134 WNI di sana. Retno mengatakan salah satu WNI berusia anak. ""Ada 2.700 pekerja, setelah kita cek ada 134 WNI, satu anak 17 tahun dari Singkawang, perempuan berinisial A. Setelah penggerebekan, mereka harus menunggu proses peradilan Filipina di camp, sementara pemilik gedung udah matikan listrik,"" terang Retno. Akhirnya para korban TPPO tidur di bedeng yang dibuat di tengah lapangan. Di sinilah Retno bolak-balik memastikan kondisi WNI tetap terjaga dengan menyuplai makanan, air minum serta obat-obatan.  Simak juga Video 'Dugaan Eksploitasi Mantan Pekerja Sirkus di Taman Safari': [Gambas:Video 20detik] ",
https://www.detik.com/sumut/hukum-dan-kriminal/d-7888764/terkena-tembakan-polisi-di-aceh-saat-hendak-tangkap-pengedar-narkoba,Terkena Tembakan Polisi di Aceh saat Hendak Tangkap Pengedar Narkoba,,2025-04-28 07:01,"Seorang anggota polisi di Aceh bernama Bripda Rifaldi terluka setelah terlibat kontak tembak dengan tiga orang pengedar narkoba. Satu dari tiga pengedar itu ditangkap dan dua lainnya kabur usai menyandera seorang warga. Insiden itu terjadi saat personel Satnarkoba Polres Aceh Utara membuntuti pengedar narkoba yang mengendarai mobil Xpander di Desa Keude Bagok, Kecamatan Nurussalam, Kabupaten Aceh Timur, Sabtu (26/4) malam. Polisi mengejar mobil itu hingga akhirnya pelaku masuk ke halaman Masjid Al-Ikhlas. Di lokasi ketiga pelaku disebut langsung turun dan berpencar. Satu orang terduga pelaku berinisial A (30) ditangkap beserta barang bukti 992 gram sabu serta sepucuk senjata jenis airsoft gun. SCROLL TO CONTINUE WITH CONTENT ""Dua pelaku lainnya berhasil melarikan diri. Salah satu di antaranya bahkan melakukan perlawanan dengan melepaskan tembakan ke arah petugas menggunakan senjata api jenis revolver,"" kata Kasat Resnarkoba Polres Aceh Utara AKP Erwinsyah Putra dalam keterangannya, Minggu (27/4). Akibat tembakan itu, satu personel polisi mengalami luka di bagian pipi kiri. Korban saat ini dirawat di Rumah Sakit PMI Kota Lhokseumawe. ""Mereka juga sempat menyandera seorang warga yang melintas menggunakan sepeda motor,"" jelas Erwin. Menurutnya, tersangka A berserta barang bukti saat ini telah diamankan di Mapolres Aceh Utara. Polisi masih memburu dua pelaku lainnya. ""Kami terus melakukan pengejaran terhadap kedua pelaku yang melarikan diri. Kami juga mengimbau masyarakat yang memiliki informasi terkait keberadaan pelaku agar segera melapor kepada pihak berwajib,"" ungkap Erwin. Tersangka Napi yang Kabur dari Polda Lampung. Baca Halaman Berikutnya...  Tersangka A yang ditangkap di halaman Masjid Al-Ikhlas, Gampong Keude Bagok, Kecamatan Nurussalam, Aceh Timur ternyata tahanan Polda Lampung yang kabur Desember 2023 lalu. ""Saat kami lakukan pemeriksaan, identitas tersangka A ternyata cocok dengan salah satu DPO (Daftar Pencarian Orang) kasus besar di Polda Lampung,"" kata AKP Erwinsyah. A disebut melarikan diri dari sel tahanan Polda Lampung setelah ditangkap dalam kasus peredaran sabu seberat 58 kilogram. Dia kabur bersama tiga tahanan lainnya setelah memotong jeruji besi menggunakan gergaji. Dalam penangkapan yang dilakukan di Aceh Timur, polisi menyita barang bukti sabu 992 gram dari tangan A. Selain itu, A juga disebut membawa pistol jenis airsoft gun. Polisi akan melakukan pengembangan usai menciduk A. ""Ini menjadi pengembangan penting dalam upaya pengungkapan jaringan narkoba lintas provinsi,"" ujarnya.",
https://www.detik.com/jateng/berita/d-7888651/hasil-autopsi-asn-temanggung-tewas-di-merbabu-ada-pendarahan-dalam-kepala,Hasil Autopsi ASN Temanggung Tewas di Merbabu: Ada Pendarahan dalam Kepala,,2025-04-27 20:56,"Hasil autopsi Sugeng Parwoto (50), pendaki asal Temanggung yang ditemukan meninggal di Gunung Merbabu sudah keluar. Polisi menyatakan penyebab kematian ASN Temanggung itu karena ada pendarahan di bagian kepala. ""Dari hasil autopsi tidak ada hal yang mencurigakan. Dalam hal ini Pak Sugeng penyebab kematiannya yaitu karena benda tumpul yaitu ada pendarahan di bagian kepala, namun demikian tidak pendarahan luar. Artinya ada pendarahan dalam di bagian otak,"" kata Kapolres Boyolali, AKBP Rosyid Hartanto, saatditemui usai menutup turnamen bola volley Kapolres Cup 2025, Minggu (27/4/2025) petang. Dijelaskan Rosyid, dari hasil olah TKP di lokasi kejadian, diduga Sugeng tergelincir jatuh ke tebing dan kepalanya membentur batu. Selain luka pendarahan dalam di kepala, disebutkan beberapa ruas tulang juga mengalami patah. ""Jadi ini identik dengan luka tergelincir atau luka jatuh dari ketinggian,"" terangnya. SCROLL TO CONTINUE WITH CONTENT Kapolres menambahkan, Sugeng Parwoto yang merupakan warga Krasak, Tlogorejo, Temanggung itu diperkirakan meninggal dunia sekitar 6-7 hari sebelum ditemukan atau diautopsi. Korban diperkirakan meninggal sejak Sabtu (19/4) atau usai dinyatakan hilang dari tempat flying camp atau berkemahnya di pos 5 Gunung Merbabu. ""Sudah fix, 6 sampai 7 hari, sudah tepat untuk perkiraan waktu (korban meninggal). Jadi hari Sabtu pada saat kejadian, peristiwa Pak Sugeng ditemukan tidak ada di tenda, kemudian tendanya sudah diangkat, ternyata Pak Sugeng tergelincir dan jatuh ke bawah, ke tebing,"" jelas dia. Terkait dugaan korban terhempas oleh badai, Rosyid mengatakan dari hasil pengamatan cuaca dari BMKG maupun Lanud Adi Soemarmo, menyebit saat itu ada potensi awan cumulonimbus. Artinya ada potensi hujan besar dengan angin pada Sabtu (19/4) dini hari. ""Namun kekuatan angin seberapa itu yang belum kita ketahui, karena perspektif terhadap kekuatan angin ini sendiri butuh pengukuran riil di lapangan. Kemungkinan besar (tergelincir), karena dari luka-lukanya tidak ditemukan luka luar dan tidak ada luka untuk dugaan-dugaan terkait kriminalitas lainnya, kemungkinan Pak Sugeng tergelincir,"" jelasnya. Diberitakan sebelumnya, seorang pendaki dilaporkan hilang di Gunung Merbabu pada Sabtu (19/4). Korban diketahui mendaki sendirian melalui jalur Timboa, Kecamatan Gladagsari, Kabupaten Boyolali. ""Dia mendaki sendiri melalui jalur Timboa di sisi timur Gunung Merbabu. Jalur ini bukan jalur resmi pendakian di Merbabu, jadi ya nggak ada izinnya. Iya, ilegal,"" jelas asubbag TU Balai Taman Nasional Gunung Merbabu (BTNGMb), Nurpana Sulaksono, dikonfirmasi detikJateng Senin (21/4). Sugeng Parwoto sempat berkemah di Pos 5 bersama 7 pendaki lain yang bertemu di pos tersebut. Namun pada Sabtu dini hari sekitar pukul 01.30 WIB, terjadi badai. Kemudian pagi harinya Sugeng diketahui sudah tidak ada di tempat berikut tenda dan tasnya. Tim SAR gabungan kemudian melakukan pencarian dan operasi SAR dibuka hingga akhirnya pada Kamis (24/4) pukul 17.30 WIB. Koordinator Posko Operasi SAR gabungan Basecamp Timboa, Tri Puji Sugiharto, mengatakan Sugeng Parwoto ditemukan sudah meninggal dunia di tebing jurang antara pos 4 dan pos 5. Tebing lokasi penemuan survivor memiliki kemiringan sekitar 80 derajat. Setelah berhasil dievakuasi, jenazah Sugeng kemudian dibawa ke RSUD dr. Moewardi Solo untuk dilakukan autopsi.",
https://www.detik.com/sumut/hukum-dan-kriminal/d-7888564/ditembak-pengedar-sabu-1-polisi-di-aceh-terluka,"Ditembak Pengedar Sabu, 1 Polisi di Aceh Terluka",,2025-04-27 19:02,"Bripka Rifaldi, personel Polres Satresnarkoba Polres Aceh Utara, terluka setelah terlibat kontak tembak dengan terduga pengedar narkoba. Satu orang ditangkap dan dua lainnya kabur usai menyandera seorang warga. Insiden itu terjadi saat polisi membuntuti tiga terduga pengedar narkoba yang mengendarai mobil Xpander. Polisi mengejar mobil itu hingga akhirnya pelaku masuk ke halaman Masjid Al-Ikhlas, Desa Keude Bagok, Kecamatan Nurussalam, Kabupaten Aceh Timur, Aceh, Sabtu (26/4) malam. Setiba di lokasi, ketiga pelaku disebut langsung turun dan berpencar. Satu orang terduga pelaku berinisial A (30) ditangkap beserta barang bukti 992 gram sabu serta sepucuk senjata jenis airsoft gun. SCROLL TO CONTINUE WITH CONTENT ""Dua pelaku lainnya berhasil melarikan diri. Salah satu di antaranya bahkan melakukan perlawanan dengan melepaskan tembakan ke arah petugas menggunakan senjata api jenis revolver,"" kata Kasat Resnarkoba Polres Aceh Utara AKP Erwinsyah Putra dalam keterangannya, Minggu (27/4/2025). Akibat tembakan itu, satu personel polisi mengalami luka di bagian pipi kiri. Korban saat ini dirawat di Rumah Sakit PMI Kota Lhokseumawe. ""Mereka juga sempat menyandera seorang warga yang melintas menggunakan sepeda motor,"" jelas Erwin. Menurutnya, tersangka A berserta barang bukti saat ini telah diamankan di Mapolres Aceh Utara. Polisi masih memburu dua pelaku lainnya. ""Kami terus melakukan pengejaran terhadap kedua pelaku yang melarikan diri. Kami juga mengimbau masyarakat yang memiliki informasi terkait keberadaan pelaku agar segera melapor kepada pihak berwajib,"" ungkap Erwin.  ",
https://www.detik.com/jatim/berita/d-7887048/polres-situbondo-gelar-patroli-skala-besar-untuk-tingkatkan-keamanan,Polres Situbondo Gelar Patroli Skala Besar untuk Tingkatkan Keamanan,,2025-04-26 15:22,"Polres Situbondo menggelar patroli skala besar ke sejumlah lokasi rawan. Hal itu dilakukan untuk tetap menjaga situasi kondusif kamtibmas. Patroli skala besar tersebut juga bertujuan untuk mencegah potensi gangguan kamtibmas. Misalnya balap liar, peredaran miras, serta tindak pidana lainnya. ""Terutama situasi menjelang malam akhir pekan. Karena waktu tersebut aktivitas orang di luar rumah pasti meningkat,"" jelas Kasat Samapta Polres Situbondo, Iptu Rachman Fadli Kurniawan, Sabtu (26/4/2025). SCROLL TO CONTINUE WITH CONTENT Patroli dilakukan di sejumlah titik yang kerap menjadi lokasi nongkrong anak muda, seperti kafe, jalan protokol, serta eks lokalisasi Gunung Sampan, serta kawasan yang kerap digunakan balap liar. ""Termasuk mencermati peredaran minuman keras maupun potensi aksi kriminalitas yang dapat meresahkan masyarakat,"" tegasnya. Lebih jauh, Rachman menambahkan, patroli skala besar tersebut merupakan bagian dari upaya preventif untuk mencegah aksi kriminalitas. ""Ada beberapa titik yang jadi sasaran. Titik tersebut memang cukup ramai ketika akhir pekan, dan rawan terjadi gangguan Kamtibmas,"" tegasnya. Selain melakukan patroli, petugas juga mensosialisasikan layanan Hotline Polri 110 kepada masyarakat yang ditemui. Layanan ini disampaikan sebagai saluran cepat aduan masyarakat jika melihat atau mengalami gangguan keamanan. ""Dengan kehadiran polisi diharapkan dapat memberikan rasa aman dan mencegah timbulnya niat pelaku kejahatan,"" tandas Rachman Fadli Kurniawan.",
https://www.detik.com/sumut/hukum-dan-kriminal/d-7886857/penembak-remaja-hingga-tewas-saat-tawuran-di-medan-serahkan-diri,Penembak Remaja hingga Tewas Saat Tawuran di Medan Serahkan Diri,,2025-04-26 13:30,"Pelaku penembakan terhadap seorang remaja bernama Dimas Prasetya atau DP (16) saat tawuran yang terjadi di Kecamatan Medan Belawan, Kota Medan, menyerahkan diri ke kantor polisi. Pelaku bernama Irfan alias Ipan Jengkol (34). Kapolres Pelabuhan Belawan AKBP Oloan Siahaan mengatakan pelaku menyerahkan diri pada Kamis (24/4/2025). ""Kami sebelumnya telah memberi ultimatum kepada yang bersangkutan untuk menyerahkan diri dalam tempo 2 x 24 jam atau akan kami lakukan penangkapan dalam kondisi apapun. Akhirnya, tersangka menyerahkan diri didampingi oleh keluarganya,"" kata Oloan, Sabtu (26/4). SCROLL TO CONTINUE WITH CONTENT Oloan menyebut pelaku Irfan ini terlibat dalam dua kasus tawuran yang membuat korbannya meninggal dunia. Sebelumnya, pelaku juga terlibat dalam tewasnya seorang remaja bernama Rasyid (16), yang terkena panah saat tawuran pada Agustus 2024. ""Dari hasil pemeriksaan, tersangka telah mengakui perbuatannya dalam kasus penganiayaan yang menyebabkan meninggalnya Rasyid. Sementara dalam kasus penembakan terhadap Dimas Prasetya, saat ini masih kami dalami karena pihak keluarga korban belum membuat laporan resmi,"" lanjutnya. Sebelumnya diberitakan, tawuran antarkelompok remaja pecah di Kelurahan Belawan I, Kecamatan Medan Belawan, Kota Medan. Peristiwa ini mengakibatkan satu Dimas tewas ditembak di bagian dada. Korban sempat dilarikan ke rumah sakit, nyawanya tidak dapat tertolong. ""Kami telah membentuk tim khusus yang terdiri dari personel terbaik untuk segera mengungkap pelaku dan motif aksi brutal ini. Tawuran yang menghilangkan nyawa tidak bisa ditolerir. Siapapun pelakunya akan kami kejar dan proses sesuai hukum yang berlaku,"" kata Oloan Siahaan dalam keterangannya, Minggu (20/4). AKBP Oloan mengatakan peristiwa tawuran itu terjadi pada Sabtu (19/4) sekitar pukul 22.00 WIB. Mendapat informasi tawuran, polisi kemudian datang ke lokasi. Saat membubarkan massa, para pelaku tawuran melempari polisi dengan batu. Polisi kemudian melakukan penyisiran di sekitar lokasi tawuran usai berhasil membubarkan massa. Di lokasi kejadian, polisi menemukan senjata tajam dan senapan angin rakitan. Senjata itu diduga digunakan pelaku untuk menembak korban. ",
https://www.detik.com/sumut/hukum-dan-kriminal/d-7886801/pria-di-sumsel-ditangkap-usai-bakar-mobil-ortu-gegara-kesal-tak-diberi-uang,Pria di Sumsel Ditangkap usai Bakar Mobil Ortu gegara Kesal Tak Diberi Uang,,2025-04-26 11:30,"Seorang pria bernama Saftono (36) di OKU, Sumatera Selatan (Sumsel), ditangkap setelah membakar mobil ibu kandungnya sendiri. Aksi tersebut dilakukan pelaku diduga karena kesal tak diberi uang. Peristiwa tersebut diketahui terjadi pada Senin (21/4) pukul 19.00 WIB, di halaman rumah korban dan pelaku Dusun II Desa Keban Agung, Kecamatan Semidang Aji, Kabupaten OKU, Sumsel. Adapun korban bernama Suarna (66). Kapolsek Semidang Aji OKU, Ipda Meyke Krisdian Hasri membenarkan kejadian tersebut. Dia mengatakan pelaku pembakaran mobil ibu kandungnya sudah ditangkap dan ditetapkan tersangka. SCROLL TO CONTINUE WITH CONTENT ""Ya benar kejadian itu. Pelaku sudah kita amankan dan kita tetapkan tersangka. Sekarang tersangka berada di Polsek untuk mempertanggungjawabkan perbuatannya,"" kata Meyke, Jumat (25/4/2025), melansir detikSumbagsel. Meyke menuturkan motif dari kejadian tersebut karena tersangka kesal akibat tak diberi uang saat minta ke korban. Kemudian, tersangka berniat menjual mobil korban dan meminta surat BPKB mobil itu. ""Korban yang tidak memberikan BPKB, membuat tersangka kesal dan langsung membakar mobil jenis Datsun plat B-1511-TYQ,"" ungkapnya. Ditambahkan Meyke, tersangka ditangkap polisi setelah adanya laporan dari korban. ""Atas perbuatannya, tersangka dikenakan Pasal 187 ayat 1e atau Pasal 406 KUHPidana tentang perusakan barang dan terancam hukuman minimal 5 tahun penjara,"" tutupnya. ",
https://www.detik.com/sumut/hukum-dan-kriminal/d-7885676/2-pemuda-di-kalbar-sekap-dan-perkosa-gadis-usia-13-tahun-pelaku-ditangkap,"2 Pemuda di Kalbar Sekap dan Perkosa Gadis Usia 13 Tahun, Pelaku Ditangkap",,2025-04-25 22:00,"Dua orang pemuda inisial AS (19) dan AD (18) menyekap dan memperkosa seorang anak perempuan berusia 13 tahun di Kecamatan Pulau Maya, Kabupaten Kayong Utara, Kalimantan Barat (Kalbar). Atas perbuatannya itu, kedua pelaku sudah ditangkap. Melansir detikKalimantan, peristiwa yang dialami korban ini terjadi di salah satu rumah warga pada Minggu (13/4) sekitar pukul 09.00 WIB. Kedua pelaku sudah ditangkap dan ditahan Unit III Satreskrim Polres Kayong Utara. Saat ini keduanya sedang menjalani pemeriksaan intensif. Kasat Reskrim Polres Kayong Utara Iptu Hendra Gunawan mengatakan pelaku ditangkap setelah ada laporan dari orang tua korban. SCROLL TO CONTINUE WITH CONTENT ""Jadi, orang tua korban ini sedang berada di rumah salah satu kerabat. Kemudian, pada pukul 19.00 WIB, ada yang beritahu bahwa anaknya telah disekap oleh kedua pelaku di kamar rumah milik seorang warga,"" jelas Hendra kepada wartawan, Jumat (25/4/2025). Mendengar kabar tersebut, orang tua korban bergegas menuju Polsek Pulau Maya untuk membuat laporan. Anggota Polsek Pulau Maya langsung bergerak cepat mencari keberadaan para pelaku. ""Setengah jam dilaporkan, kedua pemuda tersebut berhasil diamankan. Korban pun dapat diselamatkan,"" kata Hendra. Berdasarkan hasil pemeriksaan awal, korban mengakui sudah disetubuhi kedua pelaku. Orang tua korban yang geram lalu meminta kasus ini untuk ditangani Polres Kayong Utara. Hendra menuturkan saat ini pihak penyidik sedang berkoordinasi dengan Jaksa Penuntut Umum (JPU) untuk pemberkasan dan penyerahan tersangka. ""Kami juga telah mengamankan barang bukti serta melakukan pemanggilan saksi-saksi guna menyelesaikan penyidikan secara tuntas,"" katanya. Kedua tersangka dijerat Pasal Pasal 81 ayat (1) Jo. Pasal 76D dan/atau Pasal 81 ayat (2) Undang-undang Nomor 17 Tahun 2016 tentang Penetapan Peraturan Pemerintah Pengganti Undang-undang Nomor 1 Tahun 2016 sebagai perubahan kedua atas Undang-undang Nomor 23 Tahun 2002 tentang Perlindungan Anak. ",
https://www.detik.com/bali/hukum-dan-kriminal/d-7884903/terlibat-pencurian-kompresor-hingga-lampu-hias-6-pria-di-kupang-ditangkap,"Terlibat Pencurian Kompresor hingga Lampu Hias, 6 Pria di Kupang Ditangkap",,2025-04-25 07:51,"Enam pria di Kota Kupang, Nusa Tenggara Timur (NTT), berinisial RT (26), YT (28), JA (28), OO (35), SPT (27), dan AS (29) ditangkap polisi. Mereka ditangkap Tim Macan Polsek Kota Lama lantaran terlibat pencurian sejumlah barang elektronik. ""Mereka itu ditangkap di tiga lokasi yang berbeda di Kota Kupang,"" ujar Kapolsek Kota Lama, AKP Yohny Friser Makandolu, kepada detikBali, Kamis (24/4/2025) malam. Yohny mengungkapkan enam pria tersebut diduga kuat sebagai pelaku pencurian dan sering meresahkan warga Kecamatan Kota Lama dan Kecamatan Kelapa Lima. Menurutnya, mereka ditangkap berdasarkan sejumlah laporan polisi di Polsek Kota Lama. SCROLL TO CONTINUE WITH CONTENT Laporan pertama diterima Polsek Kota Lama pada Sabtu (22/3/2025) terkait pencurian dua air conditioner (AC) bekas, satu kipas angin, dan rice cooker di Mess Restoran Taman Laut Handayani, Jalan Adi Sucipto, Kelurahan Oesapa Selatan, Kecamatan Kelapa Lima, Kota Kupang. Kemudian, laporan kedua diterima pada Rabu (16/4/2025) terkait pencurian dua rol kabel dan tiga lampu sorot di Kantor Unit Pelaksana Tugas Daerah (UPTD) Penerangan Jalan Umum (PJU) Kota Kupang pada Senin (14/4/2025) sekitar pukul 08.00 Wita. Laporan ketiga diterima pada Sabtu (19/4/2025) terkait pencurian satu kompresor merk SPD orange dan satu tabung pres milik warga di Jalan Timor Raya, Kelurahan Oesapa Barat, Kecamatan Kelapa Lima, Kota Kupang. Menurut Yohny, polisi langsung melakukan penyelidikan dengan memeriksa rekaman closed-circuit television (CCTV) di tiga lokasi berdasarkan tiga laporan itu. Polisi akhirnya menangkap RT di Kelurahan Sikumana, Kecamatan Maulafa, Kota Kupang, sekitar pukul 00.30 Wita. Setelah diinterogasi, baru terungkap ada keterlibatan lima rekan RT, yaitu YT, JA, OO, SPT, dan AS. Polisi kemudian bergerak dan menangkap mereka dalam waktu dan lokasi berbeda. Selain RT, YT, JA, OO, SPT, dan AS, Yohny melanjutkan, polisi juga turut mengamankan mobil rental Daihatsu Xenia, kompresor Honda GX 160, tabung pres ban, satu set kunci, 10 rol lampu hias strip, dua buah parang, satu springbed, dan satu buah handphone (HP) merk Vivo. ""Saat ini kami masih lakukan penyelidikan lanjutan terhadap enam pelaku karena diduga mereka melakukan aksi pencurian di tempat lainnya. Tentunya kami akan memproses hukum karena sangat meresahkan masyarakat,"" terang Yohny.",
https://www.detik.com/sumut/hukum-dan-kriminal/d-7883264/kejinya-adik-di-simalungun-tusuk-abang-kandung-hingga-tewas-gegara-warisan,Kejinya Adik di Simalungun Tusuk Abang Kandung hingga Tewas gegara Warisan,,2025-04-24 10:40,"Seorang adik bernama Jasaman Girsang (62) di Kabupaten Simalungun, Sumatera Utara (Sumut) tega menusuk abang kandungnya Ruslan Girsan (78) hingga tewas. Perbuatan mengerikan itu dilakukan pelaku diduga gegara permasalahan harta warisan. ""Motifnya sakit hati karena perselisihan harta warisan orang tua antara korban dan pelaku,"" kata Kapolsek Saribu Dolok AKP JP Aruan, Rabu (23/4/2025). Pembunuhan tersebut diketahui terjadi di rumah korban di Jalan Saribu Dolok-Kabanjahe, Nagori Mardinding, Pematang Silimakuta, Rabu, pukul 06.30 WIB. Dalam peristiwa itu, istri korban bernama Juniarly Saragih (67) juga mengalami luka di jari tangannya. SCROLL TO CONTINUE WITH CONTENT Aruan mengatakan kejadian itu diketahui usai anak korban dijemput oleh warga dan menyampaikan soal kondisi ayahnya. Setelah itu, keduanya pun menuju rumah korban. Setibanya di depan rumah, korban Ruslan sudah berada di atas mobil pikap dengan keadaan berlumuran darah. Lalu, korban dilarikan ke klinik terdekat. ""Korban dibawa menuju klinik. Sesampainya di klinik, pihak klinik menyatakan bahwa korban sudah meninggal dunia karena tusukan benda tajam ke arah dada dan perut sebanyak tiga tusukan,"" ujarnya. Berdasarkan keterangan saksi mata, korban ditusuk oleh pelaku yang merupakan adik kandung korban. Selain itu, pelaku juga lah yang menganiaya korban Juniarly. Aruan menyebut pelaku menusuk korban di dalam rumah korban. Saat ini, pelaku telah diamankan oleh petugas kepolisian. ""Terlapor mendatangi rumah korban kemudian melakukan penusukan terhadap korban dengan menggunakan pisau milik pelaku,"" ujarnya.",
